,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
89809,0.4798264173086949,0.009933048127571632,0.8308757218010148,0.44165416454889417,0.66313365601036,0.810053783101383,0.34335850753774944,0.7068066448022173,0.3857926151253444,0.38941435070554703,0.7410775328192214,0.8515801268407993,0.5655045351928264,0.05368895890990692
131794,0.9089777183116783,0.11453477182393114,0.7345367786324972,0.8209989413221197,0.463663800473317,0.3543512898407665,0.026849920010100056,0.8361168540676224,0.9496822766895412,0.09471093537081639,0.5196303223523964,0.8103913228607855,0.6398657130783494,0.030265912406895513
123873,0.864867161554435,0.5202351409763605,0.06240041363628712,0.8159582356867386,0.8727387166568835,0.18365304207541064,0.18403193579677787,0.9556226535775921,0.7933441506768869,0.08567649023410305,0.24605109682295903,0.662874650589019,0.2981473312773072,0.062442822243594966
83099,0.9455180898073475,0.2580484997987971,0.08421025787587975,0.9460243370658381,0.4328508960216202,0.11264785417325854,0.11080757034959866,0.8299614906004018,0.628028776038101,0.03802225990634432,0.38092196626267727,0.29853290177863423,0.6743986850764887,0.15362589868451101
73258,0.5638497067377423,0.19357409891917662,0.9864823505542937,0.553639348628351,0.5010678904531888,0.9190726648046317,0.16297680775742812,0.17992074300067912,0.7435560344147087,0.3262148536223103,0.24604396286694774,0.8893175149716434,0.3101020646079567,0.36341131004569466
36465,0.5280885927593919,0.041458394766860474,0.41366521764012554,0.792161651644341,0.13091735241671326,0.9478939804700334,0.22191709403147447,0.9687662648980467,0.28306906854047537,0.16515380097942628,0.0008122588902493786,0.3192302293487581,0.9347880668104835,0.47991513202477926
63571,0.8817224533312085,0.4610537627089193,0.14015468595729302,0.8747636821033933,0.5813760213933956,0.010651143400236901,0.007318881405271241,0.710173062874595,0.43310039848362125,0.676699372238222,0.3656514810400699,0.4935072017207585,0.5343673510728973,0.09594799074242828
31461,0.37752166239829493,0.0473829655491623,0.9619663250560403,0.1081221504308168,0.8594794254761402,0.8146630385902935,0.5372625107147438,0.9585347632429906,0.1003335090471194,0.294839395230282,0.5320595010448624,0.3082876266911369,0.6224046917809674,0.09457421806815577
115387,0.40627298282154706,0.1621342438114162,0.7277136086218439,0.8184829228587237,0.11197090354035988,0.8277942009685614,0.0699945572635174,0.6266641532437198,0.6133275054909494,0.05309289893286524,0.36751237763024946,0.10713817343676929,0.9364672624265556,0.296967849110796
42508,0.6342737691390379,0.1798331057434342,0.8968393430975743,0.3053455919166194,0.796379832161009,0.28701892465979034,0.6225568242858,0.7036976822305107,0.1888795996522116,0.49311841020033953,0.7663754306733598,0.3212346131001788,0.5652500614693172,0.19195502876680812
