,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
10687,0.558327015853346,0.7484337782778322,0.9252513538446305,0.7751049195947869,0.214706395203789,0.9286648313376138,0.5398796858368723,0.22470184555822778,0.5261264903890834,0.9563268370401207,0.06523033766520768,0.24887327801908662,0.8403390126541638,0.003955897651676636
12450,0.5599944909200136,0.8104092304617316,0.8766668077089697,0.9081422812600237,0.4653737646920203,0.564963307761816,0.016083044041462557,0.4116035160076868,0.9748689779531042,0.8974724749017668,0.5222299872734723,0.11520405001559472,0.5186271117545993,0.9705813032813397
15691,0.10451043762711389,0.9479522322521767,0.5848741503996494,0.57956708915395,0.5508966933744452,0.6372832759404092,0.18108929823670247,0.5512326323894827,0.5973812823136433,0.6248672671294011,0.7300253979370792,0.24241142853836473,0.0013205592317619946,0.9580998631548848
15491,0.5575571645173304,0.9397079052248843,0.660098709582415,0.6029058454130545,0.09131262787798101,0.022820571576311427,0.8342383548778097,0.5030993369384329,0.1055092808253468,0.9923944546195331,0.325393286964024,0.8934506735649658,0.880886268562163,0.9121934739276536
25933,0.908649715203469,0.8887625773883465,0.16579480687244566,0.6436436165706583,0.6750539556481605,0.07691616292805385,0.14213884474260613,0.8889316305498424,0.34873838634574006,0.020726117621384852,0.034351483894365306,0.5612934080875734,0.10777748013765484,0.9694616030527524
18859,0.1779524847475379,0.9626779798194043,0.8149617293112055,0.3537216588088564,0.9988571825354517,0.543330954460374,0.5161090856861267,0.9422991063769262,0.3055185616906006,0.5161782958718134,0.060950880649168634,0.27106632586322865,0.7202173091351931,0.8130679382091828
13910,0.7632074263877834,0.7921457053505051,0.2605923093481758,0.12582102261580522,0.44158052005304266,0.871718564324287,0.6285448992762168,0.18977460745960711,0.15114729566426557,0.7738180760457514,0.06325683980944627,0.45462850229908314,0.4313245270815813,0.6302786350166546
13379,0.9452404630361352,0.2659850295796625,0.15592878673154692,0.6907230409972699,0.5961620804527112,0.5309146313299552,0.10937307993167648,0.9132489055111317,0.9909888787425298,0.13401793835236453,0.4073613641290838,0.09090854446107684,0.2217917309286431,0.8414453449070675
2720,0.43079209749377734,0.6334221074954658,0.9109552944419358,0.755003243051848,0.2553798236016717,0.17632889147719052,0.8556640151537583,0.6988303919976944,0.7096796264932521,0.22898588673569314,0.895636333958093,0.9478715793021781,0.2537307661323676,0.35648038240824687
10024,0.3493094726291027,0.09908678311081257,0.33879590767054263,0.6114811061159487,0.6135355669031137,0.813980273366424,0.6726543323470867,0.891058723355299,0.9309031596510879,0.4812228554316286,0.17455885881333652,0.42330198626566495,0.9890428509084687,0.8827172015522519
13096,0.9213903177021135,0.8532131429907363,0.8357325726859055,0.4697999267528975,0.5702975759289388,0.8907408481066837,0.02903621593621531,0.6430540092870277,0.03992574483843377,0.530958900380416,0.9743687054569419,0.4021081243641538,0.6592345583690314,0.8964225117992126
22014,0.6472499075539722,0.9674541859561728,0.37523340134447153,0.5065504021017848,0.4751686715364673,0.7714037377789912,0.7973069248961125,0.8343779354129842,0.44051570627999226,0.11346774069654868,0.6399908584187421,0.3362450838636623,0.9009232236417768,0.8616011099684909
6281,0.905163195070138,0.36551977192259977,0.06666711333926699,0.36091488124266385,0.015630081118008836,0.7863030653093743,0.9084858633886235,0.9437188336659531,0.07172888543078906,0.863902728222315,0.1647609080262315,0.023602682168150774,0.37741384115650173,0.726904424381243
9259,0.8514146182617015,0.414620859308861,0.3176756822796631,0.5024160894401906,0.6132869092561347,0.5549842252368137,0.743801244404858,0.39705556481367815,0.9883694946350128,0.3594160344145717,0.5396843777742228,0.024356477846389328,0.8710543618537326,0.21603116999304992
24844,0.9972302315415859,0.40939643455706604,0.7410686607169639,0.8540912239202325,0.19423234044654455,0.03344376905889157,0.026360478754778125,0.9247225844810317,0.2545524208506453,0.21661986025403948,0.11466552536599704,0.26144780263406053,0.2427885439342018,0.6699827914606223
14269,0.8090530297191351,0.5424123347637221,0.6785321128142647,0.18713520587527033,0.6815395451685884,0.0017549572015066715,0.9670536484131527,0.31533434425612994,0.9279062444829296,0.8735082188577769,0.7191529744972025,0.9219223139590206,0.23415476221333079,0.3184437009292907
17059,0.8927797255919271,0.9570184615814383,0.9678267357199971,0.4390341436747597,0.7504639569800267,0.5092723023263154,0.4304534538569479,0.1467120875524728,0.7760905659593396,0.9703459279671677,0.581736565635578,0.16302984692072703,0.9399561246548799,0.2447217139601025
13936,0.9631199781828633,0.9486041199948706,0.09150490710506716,0.04442273931891284,0.6840426398959975,0.003975921834942028,0.49834243335503847,0.7437159376346032,0.03604552002684498,0.7619127199160289,0.1281018965436058,0.03609673294875339,0.9065622835932559,0.9684555629051531
11568,0.6656236220557087,0.8543532719160774,0.9801289656413379,0.9565111822580756,0.14440027687496323,0.9043728111222137,0.05749379062605783,0.42507060987290596,0.8066225286072508,0.6997368084907233,0.0455309713467347,0.7807723809748952,0.21951323100956532,0.3750352998472629
4669,0.6543184541012832,0.7933419208564756,0.90205533300922,0.13777471958489754,0.9060907498262135,0.9919237982771862,0.22087194962709905,0.048071446055993367,0.31982028827774983,0.49479196516441004,0.20214750497757045,0.89921863126108,0.45656471092220186,0.2212543374734818
7039,0.933804060883749,0.06433849307257414,0.963651486715752,0.3134750894951709,0.15731584437106894,0.32834419462268755,0.8837955928709179,0.9802993093009956,0.9724767087039835,0.3511694969747204,0.5991101208250804,0.3268721885575846,0.03541934359237103,0.02748511504269004
16540,0.9110920928483401,0.7498906276379218,0.9618900462248108,0.08462489630506677,0.9676129293845492,0.9358030390176614,0.8390858781527758,0.11502475563298892,0.9068394321694087,0.8407687428589362,0.887964855541762,0.4398136238839319,0.06890760027229446,0.8693228862437714
24228,0.4985032408541004,0.9706219481379235,0.7904161348217338,0.35664954076067645,0.9498378263445576,0.3072199314024431,0.7389512816352085,0.25033187922146055,0.9927066171806539,0.40803419153055903,0.5895484293844829,0.8179798610056355,0.6782278927945777,0.11178468364297073
18584,0.8965484200103776,0.6885748016709284,0.9395599742245947,0.20333485381434713,0.6186972574670737,0.03691110282208565,0.4454976983922009,0.25191848152338225,0.25780215571893295,0.9526715291366151,0.9412668234310745,0.18401073529445197,0.24134818886536102,0.6508715027412679
27988,0.6002423481974216,0.25308582391361245,0.7629121504967168,0.49778592778022956,0.47389600256204417,0.8761157816239433,0.3356439269991284,0.29370092527373887,0.8633785792892191,0.4528340713933028,0.1213453756225012,0.12523322957603505,0.28149848312040904,0.896689070607023
24520,0.9479105953061754,0.912001891054931,0.5920227950960472,0.04083315223460958,0.050049103712199464,0.4069534522448487,0.3536846945435921,0.43821158639159385,0.35532226914601317,0.23652200350399447,0.46240133773963954,0.05121993412749032,0.0586693339893647,0.8088103063922882
16974,0.5351731178047835,0.9031232874135184,0.07508363001523563,0.6971709912016061,0.6241367218329107,0.6156265885005827,0.17469490345506958,0.3811712551974946,0.36209946574623986,0.26842694285171265,0.006075568712747193,0.8547943894037745,0.9443894429155045,0.42129321008001014
17093,0.7681642806532237,0.03629202939130904,0.8678784383429738,0.6139248808667088,0.31857257077413287,0.11539543773143864,0.8149286871961199,0.9848734974186573,0.1993858075724119,0.22885355359923745,0.6547081127413394,0.9681895303176039,0.9422667267182275,0.563829064873477
10799,0.9278443520056548,0.15141416378935751,0.12814411717451704,0.17015576121235218,0.5068121622329755,0.4515454319874332,0.9984523765118345,0.9715015489771487,0.726529828566038,0.4395042214386522,0.4863001115650436,0.8860795144349924,0.9769698593374905,0.9856946334821148
21548,0.5868373579058931,0.8748651274254877,0.06566377912743106,0.30207501143029714,0.8052796118053434,0.1667307820910587,0.922081177836066,0.9631729033804811,0.3092309927539175,0.8983401762321023,0.1741890887616224,0.6466254633187458,0.07756691325734932,0.3016642144473646
23468,0.42449712710178206,0.33254816731149767,0.07945619619611738,0.7425871324394898,0.5623898045446588,0.8825080102254139,0.1678568534933383,0.6896386994623583,0.7666462267210644,0.8277453940024594,0.5673938682175571,0.23310065300435306,0.9032755580493756,0.4530859297318722
5891,0.33670562218170846,0.6917797192787307,0.9885066283980085,0.5120905169728457,0.7834388870533396,0.7376598040267804,0.396159875439687,0.8947350893719518,0.41305830575124025,0.014005117854987465,0.9253508816150942,0.7048912332544598,0.7536796104292294,0.3680434256191573
23111,0.3939432276487538,0.2523103266108269,0.9308339507565727,0.37797666502474375,0.8636781731354128,0.666001385645554,0.48901630518667755,0.5597223040451662,0.6270792637713024,0.6612994855705964,0.14112213328716275,0.7967444484238037,0.7340850508724865,0.0739650197498351
11563,0.42657236597387815,0.9960537170715332,0.9631045795384705,0.6318578318037378,0.06160203011324399,0.20217342191764742,0.22669376562969487,0.17883032298374157,0.5073924755380202,0.6904922417618334,0.12138615196508624,0.20609427451428944,0.903819412999857,0.8797234775901644
9190,0.7357577050758556,0.7554445438332249,0.20492882544572347,0.1463580781485124,0.7396313617064053,0.22636920481627584,0.899829446313749,0.01779699678186241,0.9929232313966936,0.14636704386947663,0.9958818492285337,0.3673053127172669,0.0837652492637682,0.5214568563259985
14342,0.8465999441046469,0.9534069399270245,0.4929745048318672,0.9218213224175047,0.7445211729834815,0.3474053677618713,0.024401797359697122,0.6101860652046128,0.8085565117003127,0.14571480502711454,0.4230160368458621,0.683310949757336,0.9588447974890058,0.9243145446658625
24726,0.9705363117477888,0.705975207858586,0.7067276394205598,0.0272347237314738,0.511164130827272,0.3577518683854614,0.2552820329512544,0.577479513880914,0.37129954852862207,0.025890346835836846,0.9226012666751221,0.8680018737984254,0.29110509904814774,0.39170327070654676
8152,0.6018016051041399,0.024445813230279185,0.4018421422031793,0.3495625712861181,0.30777304619185747,0.5731913075191604,0.9918699983219614,0.9701948683731402,0.13598615754120683,0.33036629127367995,0.6390145062097414,0.17648405927416677,0.02152356861742303,0.9711800069069966
5990,0.5857034305368971,0.06849776291640387,0.813378979982473,0.23317672156667876,0.8958847778458182,0.9037918045565047,0.41441652291025916,0.274350359786713,0.8523891244383848,0.6953964183054618,0.893742938174793,0.23220180359963435,0.8145902149728979,0.4542949414949968
16502,0.8967030825205542,0.43716763069737696,0.77514145609518,0.010432654802708398,0.3887919557500583,0.9853169203444831,0.27571114586805884,0.10401882989800812,0.8148300307262624,0.02815833875018004,0.004024957359691044,0.7800665138936831,0.9942660271227425,0.32715721917066043
16074,0.1928482697732707,0.4749168839447292,0.1339524079083919,0.35977401655763724,0.5911907287232298,0.9604683245681473,0.6972337285195748,0.04481587912637358,0.5657683662039437,0.8951593830041661,0.8652358875959125,0.11140966537750256,0.7138808295813424,0.2678319992931252
27545,0.7840031597104092,0.5159225708458571,0.11807235395354077,0.3451325903264038,0.6204169668881252,0.41793508245367506,0.8556872368036943,0.8804181603025807,0.6811172163032827,0.08227009232672138,0.6882936654124607,0.9983033705737129,0.0519040317301317,0.436724000530302
