mode_index,sing_value,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature
0,300.68329492448055,-0.20947035726207153,-0.2778938331474001,-0.11924673847652462,0.6378304061665893,0.3496145894949665,-0.09889063561774829,0.13266005661300614,-0.2964883505177908,-0.2722179481381633,-0.11935930339043924,-0.05910501864566197,-0.02014010717819659,-0.17428690227615126,-0.05849497774090398,0.3070670206627501
1,187.9033984493765,0.8990858703562908,0.04010738155793734,0.021427123478645248,-0.031040573653326183,0.19849298304211743,0.10020233563482736,0.28421217023790285,-0.15754635599826183,-0.12213712668246705,-0.07462819653843421,-0.06509479218216876,-0.0037470808564142853,-0.06868939761245996,-0.020401024545585116,0.06085490358021409
2,113.2030350034376,-0.10335736924222205,0.7176644061083143,0.07096709736995546,0.44347914195329563,-0.15406788023047402,0.242856573882496,0.3958559801698475,0.11990428283800245,-0.03503118982742784,0.020090147256105247,0.06257649592903969,-0.028914263050680313,0.05371681214444428,0.010080580327547278,-0.09695354640897355
3,68.97099936402293,0.01933644286481859,-0.38419806577944826,0.03968720539309145,0.2434364209444583,0.2657221574835597,0.5806323068194287,0.0707426203214338,0.23576202848009356,0.5133073061095225,0.07703480793764414,0.06273956880547583,0.014765558578452409,0.04304923346109284,0.020908231288590793,-0.21676662985963688
4,50.273245785044516,-0.21273124213073022,0.049676019453638844,-0.17290225130841183,-0.3755208274676578,0.5513837385653241,-0.21851620507261993,0.5238270276358474,0.3629019153321183,-0.05064286203533588,-0.03354504019855448,0.11235089292166849,0.008072152773418224,0.005590315324496975,-0.08362940689255022,-0.00988615019786248
5,41.6063815570178,-0.1488537480795758,0.09897510869922181,0.11737305018514893,-0.28006128981601736,0.20755023731476988,0.6569647398501489,-0.24454572139411576,0.030163602768910024,-0.5434329299661941,-0.007936832833826948,-0.002168603809282085,0.014311109420829587,-0.12321569308149498,0.005437637432142175,0.17216265295556116
6,39.09622216514824,0.14454665772843178,0.1289588040578601,0.49613612956469416,0.2596814267396353,0.39013871492688884,-0.3027376517789787,-0.4315901997593216,0.378413050698028,-0.1262321962921847,-0.08513405869541343,0.06743424484813078,-0.005574573011438917,0.11898407209783755,0.04865159830300484,-0.17686303170132836
7,32.48313198476814,-0.06208962365358198,0.45821121772287043,-0.09204355101794891,-0.12351690578288303,0.43345226498853184,0.008473046664112645,-0.28588242763403954,-0.4222106276276399,0.5095056855435526,-0.0816833797234486,-0.03341760865079659,0.03337535772268777,-0.1069081416444176,0.04190459827007106,0.1811945554724204
8,29.759992164670443,0.18839091902410152,0.09801137343445437,-0.5081417819284951,0.14542687748103078,-0.11569676573194712,0.0012747613823104371,-0.2734594610292777,0.5627061367190764,0.08476081140495935,-0.04283386045833701,0.06818974632183356,0.039427294299428435,-0.1996117155792958,-0.06702426397249414,0.45954256448961095
9,26.87206747272466,-0.047784433841311744,-0.0729807325388161,0.5470665037905631,-0.08420483692260188,-0.11352811950040764,0.01012111704923488,0.21172388031621636,0.09285635175253032,0.21616877168696708,-0.021661318818287992,-0.064088206800823,-0.017225462574890285,0.22777228512018607,-0.00026686494384014424,0.7183978156021704
10,14.720358295039139,0.0683385752132639,0.025534101943341103,-0.2570236327888557,0.06904918184727557,0.1603769929813279,-0.006741253160590341,-0.08241105528033667,-0.0910307778048482,-0.12792183033431864,0.6267113856239998,0.09733038680265284,-0.008332516453002157,0.6339745500205403,0.20863665782020221,0.13739624050667873
11,10.574820770286784,0.006229409369821658,0.016905207063053034,0.22028036566949277,0.0007511460742163873,0.019126979331495333,-0.11121018642840215,0.05613674706485966,0.040790291994807756,0.04105107863869364,0.7205862598972047,-0.03063671157801293,-0.003812562067190904,-0.6361669399352216,0.07974811104640164,0.025527359821024297
12,6.808780754366064,0.04363990468471371,-0.04160096399740306,0.08117356173058134,-0.005671695631661258,-0.060594278739089444,-0.004862876686990028,-0.0114100484892562,-0.1642098288084004,-0.0010850262932615383,-0.018176679907144437,0.9606558180392126,0.05099260690251198,-0.06961375398173666,-0.15721546644862402,0.0599919885396609
13,4.852407179116422,-0.011195184091768739,-0.044830547563930394,-0.026642853459024146,-0.013445414817451203,-0.02644715417489628,-0.018318105167891858,0.08612016611946137,0.031035580857847748,-0.01969684012524678,-0.2070618771866343,0.1388176216205347,0.12023052160861644,-0.12183100719626436,0.9458172778306929,0.034028804776939266
14,2.838850687537439,-0.006001309341843489,0.007333377472150073,0.03227365199928987,0.0301992672666669,-0.010132690295395532,-0.010800494283934111,0.025003633030692595,-0.01039781475063283,-0.022405688411552035,0.03488673071311801,-0.06947495005562704,0.9889997484467523,0.036347842696505824,-0.10396431722492096,-0.014418332349840563
