split,kernel_liq_density,mse_liq_density,mapd_liq_density,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,RQ,40239.8601287662,20.09740017294251,RQ,2.3142108217620065,89.75103059665395
1,RQ,40391.85229176308,26.014918076469502,RQ,3.3483393711812277,163.3259532666447
2,RQ,2.8203398179466426,0.1683792357034661,RQ,0.546032433323653,2.756025609037622
3,RQ,0.1584279461361939,0.0409777691116086,RQ,0.001056501612411,0.1301307787886862
4,RQ,0.0468638052960361,0.022921938974902,RQ,0.0660894230671951,1.124236647521483
5,RQ,0.0432156216256418,0.022652745012526,RQ,0.6712254658954452,3.90406429061525
6,RQ,0.1176030153435563,0.0384915115699693,RQ,0.5741686548492024,4.292240002737315
7,RQ,2.199961095357149,0.1489332943032861,RQ,0.6180569532716089,2.7106835041226782
8,RQ,0.750420401290865,0.0892043001411219,RQ,0.3013441993153832,2.1289111920701798
9,RQ,0.9450918191884368,0.1026531595358729,RQ,0.0291927896511278,0.7190701437062512
10,RQ,0.3305405840723229,0.0624302549418319,RQ,0.6432270083729114,3.613979561300747
11,RQ,0.5605929885869313,0.08360175653705,RQ,1.1692992340072057,5.795917365517623
12,RQ,0.002198243940295,0.0046621591413637,RQ,1.697881980149158,4.9180518605955
13,RQ,3.16931155934694e-05,0.0005754692816634,RQ,0.2685089082828385,2.19557837447527
14,RQ,0.0078857186163376,0.0093490212127064,RQ,1.0449445735787717,5.1367976698791
15,RQ,0.046703003911126,0.0234660764083211,RQ,0.1084546418118226,1.8317533493926923
16,RQ,0.2755684510182157,0.0588837677898078,RQ,0.099270740795734,2.026653004848648
17,RQ,0.7725687619520801,0.086748382651352,RQ,0.1259088836459052,1.2594731844595983
18,RQ,0.2327711193894094,0.0488314794806569,RQ,0.3034549272256416,2.141578118866633
19,RQ,0.1098099929460973,0.0344726281978839,RQ,0.5628696976124071,3.062280300868389
20,RQ,0.001491070314119,0.0041319197346685,RQ,0.1200235812725855,1.6169902170429171
21,RQ,0.1387512744452034,0.0410491638395671,RQ,0.0924857777713695,1.5751731618022915
22,RQ,0.0550126480436209,0.0237132885395561,RQ,0.3727605572127243,2.168892963236817
23,RQ,0.0264430102916539,0.0168231584644769,RQ,0.0845100976977064,1.103724773760948
24,RQ,0.0128488055546714,0.012014239526361,RQ,0.006708445254832,0.3430795613425567
25,RQ,0.0212558324537758,0.0158459503672002,RQ,0.245323345822666,2.276127457930095
26,RQ,0.4519947207640964,0.0749993706642426,RQ,0.090913373132388,1.6059656549867791
27,RQ,0.6111715240260313,0.0787610339504245,RQ,0.2516582731502796,1.6480250604894744
28,RQ,0.1189782134484805,0.0355690719238412,RQ,0.0505158075701117,0.807129151499841
29,RQ,0.0620167685370905,0.0262949140947139,RQ,0.0698053578073571,1.0370291823617317
30,RQ,0.0168942811487618,0.0140732225133775,RQ,0.0150445016609378,0.5245869262157676
31,RQ,0.7443346043141597,0.0959280876888196,RQ,0.5504501175717561,3.4703933870963133
32,RQ,6.123407672696581,0.2454767044110903,RQ,0.7410546636742797,3.1884518016500483
33,RQ,0.0502095653280951,0.0228032012718636,RQ,0.0122550836367745,0.4459897398809645
34,RQ,0.0053053914966233,0.007610359020015,RQ,0.144640143013327,1.7140300624982008
35,RQ,0.0112337108133148,0.0113835887195633,RQ,0.0129148070791105,0.5524094668683938
36,RQ,12.623356819889082,0.3929826364236735,RQ,0.3645319374748687,3.348398509883236
37,RQ,2.613349895811594,0.1607940519747129,RQ,1.553780608347873,4.471622900516324
38,RQ,0.6785870437334336,0.0841962293186924,RQ,0.255986214031628,2.098710378789082
39,RQ,0.2500894431410441,0.0526858850520585,RQ,0.4697339286849095,3.200568692601548
40,RQ,0.0030816912136351,0.0060341613543006,RQ,0.3158868342971426,2.8234466194448418
41,RQ,0.0091253140756628,0.0107387873482215,RQ,1.218562799469206,6.613616357761039
42,RQ,0.8392889976862965,0.0917862379062305,RQ,0.4039849409859419,2.0671806351159088
43,RQ,0.1306751762829547,0.0371141823407692,RQ,0.8989875909980665,3.269250144432573
44,RQ,0.0379935475895371,0.0205122766397274,RQ,0.2939603070134668,2.1352898900492465
45,RQ,0.0187854290949565,0.0148024743161222,RQ,1.696788490275141,5.42616690829684
46,RQ,0.0937823847165945,0.0339970475517423,RQ,2.013277120265498,7.109785881539555
47,RQ,0.5273533867943843,0.0720812929484371,RQ,1.648907412537119,4.541661075542496
48,RQ,0.0661402920576078,0.0262265647316624,RQ,1.0943546393617882,4.346457425703727
49,RQ,0.0214496349186501,0.0153567574318496,RQ,0.2479988231210494,2.256116278652506
50,RQ,0.155161112570739,0.042505404059991,RQ,0.587971316050939,3.7133456348708394
51,RQ,0.4436197882859966,0.0741274923632338,RQ,0.5597276754254753,4.396237506389371
52,RQ,8.922262222618699,0.3000328984201117,RQ,2.070620423578554,6.128092826203613
53,RQ,0.1932952217797517,0.0452935072243154,RQ,0.0358321968296027,0.8626837154875024
54,RQ,0.0040666712508067,0.0067502337673283,RQ,1.644234837025794,6.152312172223614
55,RQ,0.1080539073119469,0.0357909118286606,RQ,0.0505110925167716,1.2968389542807013
56,RQ,0.5367429117766684,0.0821545415546303,RQ,1.458013875129388,7.517166490333296
57,RQ,1.2884967868725403e-08,1.1292924966518436e-05,RQ,0.7016736926835563,3.1927811238985413
58,RQ,0.0539109681204192,0.0237171809096552,RQ,0.5159564169512556,3.0992311816438334
59,RQ,0.1589784121884471,0.0418600806353266,RQ,1.3734867478311386,5.417419605709079
60,RQ,0.0224252413802998,0.0161911565513919,RQ,1.8237262695442151,7.635723722340844
61,RQ,0.0382164970793072,0.0217961693812158,RQ,0.1690573280181775,2.5502530041575637
62,RQ,0.0672390117634376,0.0259032938144004,RQ,1.6753304484523563,3.4462212651056743
63,RQ,0.0006779994096376,0.0026554730014258,RQ,0.2077140097554234,1.3192972860173324
64,RQ,0.0162412198284566,0.0132728875156109,RQ,0.1278926706052331,1.115811232824618
65,RQ,0.0045211795619632,0.0071544777627954,RQ,0.6511671334680376,2.81311081162654
66,RQ,0.4088910029264938,0.0695780203485535,RQ,0.0019544462941756,0.1647767959908014
67,RQ,0.3312977810116499,0.0580147008850226,RQ,1.0769667647651728,3.847854077074548
68,RQ,0.0721254838610934,0.0277328386269408,RQ,0.162080399632879,1.6111901101876005
69,RQ,0.0025625070542126,0.0053632452754859,RQ,0.0205276884172409,0.623476371421184
70,RQ,0.0269644762968229,0.0178691145122607,RQ,0.3562208379208388,2.856696172184361
71,RQ,0.0014927022114663,0.004323756494033,RQ,0.0435591634564996,1.1704145439860645
72,RQ,0.0205916043323394,0.0144660051605537,RQ,1.1757251411844538,2.9208657215987444
73,RQ,0.0027967134025729,0.0054413768100694,RQ,2.3331487527532984,4.646005217272007
74,RQ,0.0049301141048819,0.0073764379982161,RQ,0.1017579279275254,0.9980904108441176
75,RQ,0.0131789877041285,0.0123241706256287,RQ,0.4265794412284652,2.263358226206906
76,RQ,0.0045636486761006,0.0074183393011823,RQ,1.1382758807991096,3.852313416691119
77,RQ,0.1198241939702574,0.0348799521636826,RQ,1.028571995951541,3.6591460500762154
78,RQ,0.0219180269452777,0.0152919147402,RQ,0.0072461696714004,0.3257410256328806
79,RQ,0.0009032684820553,0.0031851072440215,RQ,0.354285923297989,2.4683707615755237
80,RQ,0.0051782341038218,0.0078331544122346,RQ,0.1796271704638906,2.0316057873589166
81,RQ,0.0004649320869956,0.0024145860267109,RQ,0.3648245677476157,3.1475342040957206
82,RQ,0.3103147075184195,0.0557506839432392,RQ,4.6429921156779095,9.071090055164223
83,RQ,0.0196007024602573,0.0143574865783305,RQ,0.0087288816328366,0.403000811169785
84,RQ,0.0107335014729866,0.010910722279573,RQ,0.0098685739371126,0.4687473872191389
85,RQ,0.0610944782191811,0.0267709339363891,RQ,0.4323291333377594,3.3259013917706333
