mode_index,sing_value,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
0,60.632078098721976,-0.04251172239426535,9.476138573923922e-11,1.5596267371435405e-11,0.9985106347902472,-2.7543772794806305e-10,-1.725877173122293e-09,1.5521670032811357e-09,-0.015696810607869434,-9.91042216852576e-05,0.012417967658471493,-0.006919041170062399,0.018440396895264704,0.009234902235711096,0.017188812539136917
1,17.880291005785125,0.01857605461921535,-1.9363174024418593e-09,-3.815547047552147e-09,-0.033429599961052624,1.2619152116633211e-09,1.3955530541219004e-08,-1.0769335660559582e-08,-0.4587087139786443,-0.002896123321079661,0.3628909324588056,-0.20219550901514272,0.5388846676170247,0.269871988781096,0.502309558124177
2,10.802541668007997,0.998923262144723,-2.9968680971779414e-09,-3.738462182611353e-09,0.04311582142579033,2.4628885747645967e-09,3.4053944572879806e-08,-2.3994577998263224e-08,0.00786216199193787,4.964257349384495e-05,-0.0062198616062814245,0.0034655897965675756,-0.009236362534775262,-0.004625567614328077,-0.008609470000103488
3,4.76575275733673e-07,-4.7066152607717474e-08,-0.11044526160679724,-0.10965365631398619,1.022761505818664e-09,0.022796452090747786,0.8443248185367245,-0.29265421141339587,-0.019892711279048066,0.043685104031202154,0.18653944409555515,0.04898285165747624,0.010918621290861097,-0.3665726863471973,0.05227056590152438
4,1.3391129668587225e-07,1.0081356939859207e-08,-0.35111149805970016,-0.13581686947729152,-7.590333076309817e-10,-0.06238332051044316,0.16090793257737487,0.790672470482273,0.17441085838094375,0.0243985980267393,0.16705306524134547,0.3602030518011,0.09949950479319727,0.020844106094095108,0.06577586502455475
5,8.158854728288906e-08,-7.933558615721372e-09,-0.16112675135862956,0.12829790817048362,-2.3988599484050126e-10,0.06349115382547153,-0.3559531901573169,-0.20519166671767197,0.09677564080822586,0.1490591719381149,-0.079148537837445,0.40847284011150836,0.05786541312766714,-0.5367974872485685,0.5371608088570456
6,7.866644492470556e-08,-1.8106350813874251e-09,0.370371733781793,-0.2365155461931222,-3.94272945972966e-10,0.06019915057194351,0.09046663526145336,-0.03468753810141759,-0.4710463577999378,0.009891625214185053,-0.2846726176829136,0.6698781878379886,0.06957693565886834,0.15626109138256325,-0.11339100580965279
7,6.466528004741038e-08,2.2609370842250554e-09,0.24936849475880093,0.5632136758906923,-1.0664649935593573e-10,-0.11032499682420122,0.24673345834061505,0.06850278421464616,0.14139023864932562,-0.47969591791557303,-0.06516366820592817,0.15648083508810728,-0.25247720459333545,0.2330148506489322,0.3820883211522902
8,3.5295207852704696e-08,3.364087994919074e-10,-0.10458410946173284,-0.16028938186136027,-1.3168875467666244e-10,-0.1122752470932476,0.04945176458870717,-0.2634999011048577,0.516374595450284,-0.26915573031827,-0.3021790176129258,0.10741648957919006,0.6251677601210661,0.20855019895355922,-0.05118757085999589
9,2.9441007540923073e-08,1.3722129829441585e-09,0.4221223654029057,0.12105433275252907,-1.7930403185192065e-10,-0.11242688831619434,0.08179656301134372,0.3958716563210298,-0.09079379051393008,-0.049352985721901346,-0.36707080443459056,-0.3093216310644159,0.34271307627546227,-0.5212018728177179,-0.030165950112005603
10,1.8995404082236714e-08,-8.908279666002363e-10,0.40035264255454767,-0.44620655687975996,1.02830675777076e-10,0.17222950897011172,-0.18105379622172538,0.01717225051260119,0.18838837266186437,-0.5015837372908475,0.4843918558221319,0.03925881856115829,-0.06251274784625781,-0.2240843122252021,0.02245731960523578
11,1.5472710581621783e-08,-2.1972368245510667e-09,0.09977926950473069,0.533045816230599,6.954897040845352e-11,-0.1572438609989779,-0.09558361919492749,-0.08404128408248229,0.007540964937778849,0.06804333384323026,0.48203841131399994,0.27860373717442255,0.306280213628002,-0.12306139523853389,-0.49128601407450395
12,6.247695407048794e-09,4.4491036402046517e-10,0.5289965250201172,-0.065224693336503,-6.800537472855853e-11,-0.04154945835381462,0.09449722113696005,0.027973900203956764,0.4346873722055343,0.6428339102361816,0.13145601564573398,0.01676429231519935,-0.004230234365869629,0.20443136343074997,0.20714594860474322
13,4.336655960580193e-09,9.206073084177776e-11,0.0005205005075286021,0.22821266494252734,1.300721452379885e-10,0.9457279970628307,0.07400924242600013,0.08309122250420205,0.08851811940499175,0.02704005035406687,-0.059447250597033076,-0.01333876420893838,0.1456166372682729,0.05561278245427121,-0.06752953684813759
