,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
43096,0.6714123074114354,0.5021666722801907,0.5280262511299668,0.22040242360037154,0.898247379102179,0.9435875147423759,0.023773672139501933,0.1063170234910781,0.8842472273239281,0.22653061958389895,0.3155034385718204,0.9132804771857711,0.31230133467511384,0.09690141747038157
1208,0.3943049702200679,0.15299499806501074,0.9700559560444624,0.3529071721111163,0.8402949002712128,0.9404703681010047,0.07747104664078065,0.05103083064234066,0.31617844825366154,0.4521978587129883,0.9296398059493233,0.5801939857286053,0.8944655172396241,0.05195963524089772
36465,0.5280885927593919,0.041458394766860474,0.41366521764012554,0.792161651644341,0.13091735241671326,0.9478939804700334,0.22191709403147447,0.9687662648980467,0.28306906854047537,0.16515380097942628,0.0008122588902493786,0.3192302293487581,0.9347880668104835,0.47991513202477926
89809,0.4798264173086949,0.009933048127571632,0.8308757218010148,0.44165416454889417,0.66313365601036,0.810053783101383,0.34335850753774944,0.7068066448022173,0.3857926151253444,0.38941435070554703,0.7410775328192214,0.8515801268407993,0.5655045351928264,0.05368895890990692
87544,0.9857991893058794,0.4113721915939028,0.4914625984990907,0.8358923608114991,0.21235582760148394,0.2935483290214139,0.10208088285413017,0.45589090945787586,0.9613592990358975,0.17059160358960257,0.10020065501103462,0.4844475311940189,0.36161540414405396,0.14240017982679642
131794,0.9089777183116783,0.11453477182393114,0.7345367786324972,0.8209989413221197,0.463663800473317,0.3543512898407665,0.026849920010100056,0.8361168540676224,0.9496822766895412,0.09471093537081639,0.5196303223523964,0.8103913228607855,0.6398657130783494,0.030265912406895513
123873,0.864867161554435,0.5202351409763605,0.06240041363628712,0.8159582356867386,0.8727387166568835,0.18365304207541064,0.18403193579677787,0.9556226535775921,0.7933441506768869,0.08567649023410305,0.24605109682295903,0.662874650589019,0.2981473312773072,0.062442822243594966
102334,0.8229558915913018,0.47660635046283334,0.41557006753854564,0.9055162326004389,0.17055720531594404,0.4630481725811873,0.2572350780959467,0.3287088202235861,0.813997047953826,0.17974890036137858,0.3825172837586046,0.13063761940204732,0.7814566137918806,0.9659445850837101
73258,0.5638497067377423,0.19357409891917662,0.9864823505542937,0.553639348628351,0.5010678904531888,0.9190726648046317,0.16297680775742812,0.17992074300067912,0.7435560344147087,0.3262148536223103,0.24604396286694774,0.8893175149716434,0.3101020646079567,0.36341131004569466
25284,0.6396738151556671,0.22028784084779376,0.6980272713663992,0.46196828369390025,0.9738882303712016,0.5126575279283577,0.23887786520625748,0.8878410598440442,0.9208958800748325,0.39358137065157306,0.6347173841643771,0.8528439146176371,0.555622936614459,0.08581397581993856
