,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
11003,0.8482343979034158,0.8404803843182174,0.47096070386488925,0.5846400069719213,0.45617344299289636,0.8221140994513808,0.45461398662118224,0.731688619015165,0.3979431087642965,0.9277345535619103,0.07183093458654627,0.2105602830524778
34002,0.004713772063871229,0.11719031515575351,0.16062594087246088,0.03426268689508391,0.6159127688960898,0.574911363082657,0.5280167269465973,0.03684509000415817,0.1522045362151546,0.5863089142381118,0.5265346006417659,0.02146551335506335
21019,0.9009208030841098,0.3704109156706802,0.6928728513064228,0.18312815750073078,0.20648234794204803,0.6303779004228603,0.6714251128163151,0.30451559008992063,0.04070445619296361,0.9246590731383025,0.9720055888945771,0.07559624647973272
18603,0.4545078871179526,0.9758885483481129,0.3273715114821606,0.7238305564762402,0.05756571554263941,0.12653710032277113,0.31576397161123904,0.2923793379531959,0.06471596264963146,0.18380069929864265,0.05294413129645879,0.6474154267263867
19376,0.5099590410028619,0.2416553527810774,0.4809521026922136,0.48030532955404903,0.3796631969483157,0.569945664491919,0.1943402479423655,0.24135620197964255,0.7372365250126849,0.04962183461550318,0.07569698317220074,0.9472259118195862
1835,0.9842486503296973,0.649828200881258,0.06042227200761358,0.26669026955473163,0.1474839093050674,0.3279030589643472,0.44027436117876645,0.11542391838309674,0.45600712831756657,0.7250356728720515,0.9973757577362964,0.6517426029055154
38323,0.6449230214871624,0.7131017846696321,0.20530983706673625,0.5778915996462445,0.9313538156866379,0.5198828067434099,0.9762969130629799,0.7875608615158498,0.2839835973176374,0.3600796458388463,0.818007251278104,0.022366872526547375
27499,0.896416933833474,0.005807320905734288,0.8642096175158476,0.04045494550566073,0.02010863664454379,0.8947218733623156,0.8091279319998566,0.3190397961761991,0.12378598916055195,0.0376267164828359,0.12988525707173815,0.524779254843842
36389,0.5373303562113824,0.8025581963698467,0.05130230458416471,0.9715639047064867,0.9779105001430172,0.6088620046152105,0.10976923680866106,0.6184285540666272,0.2284185165121043,0.9321036986952871,0.372499685465169,0.9133130901752878
9227,0.24362355254805787,0.04433241647803464,0.07521837433784521,0.8545232719812104,0.956685830489894,0.5848619242217532,0.7909531264118406,0.48613218878295067,0.3560410274138386,0.055268799414602644,0.7372551161678377,0.2502312020645698
21662,0.05095116654530996,0.17220412187695497,0.17742255279478805,0.9628611504022659,0.5171670463117056,0.7679833154938888,0.2671355119612517,0.25907643321744406,0.7097387865276178,0.45211820623908777,0.6658623115886264,0.31550746497448107
3423,0.16448483589785132,0.6100643826450738,0.6455019400155684,0.7411280669512101,0.06627337314944937,0.9067100972218641,0.012639417070649804,0.977358635298903,0.8164694141751676,0.8241407122516438,0.41209542258039944,0.8454189093465369
8653,0.34461180121089313,0.7142164902323127,0.7131518299940347,0.8255035365259509,0.024235320120402304,0.7350533228670119,0.828064857596418,0.6178407299442603,0.8224984845663148,0.4513179621374597,0.7205792628054546,0.21843815830381308
40318,0.27137389749606095,0.42431048591973086,0.253811113735095,0.7715937724850734,0.6673779551219003,0.3054819751107108,0.582178026111698,0.09091571711924071,0.7473125022970873,0.14444904198131955,0.26422371848128445,0.38016511312145557
31250,0.8219820490698002,0.4714706699183946,0.024686307032279114,0.6852406359761415,0.54247388238546,0.839547362070139,0.22308501283113089,0.006351249843731859,0.8174047957363333,0.8820723815752741,0.9432729593916027,0.03840354591972149
5757,0.7721922727894995,0.6883546685555817,0.0008741939337956379,0.9030197933944655,0.8752607849209447,0.9413496404171784,0.9926646189479211,0.7196823190312028,0.4838493005991487,0.13421182855608849,0.05481159160333674,0.7613070390618114
28413,0.10770863983472653,0.9535458795117646,0.6855863699716266,0.05964435400363567,0.20357631479160043,0.9525652196564226,0.8503190424270693,0.7815802405881488,0.03744503043445319,0.16859166574550913,0.9580196264332177,0.4236742211742895
29091,0.2541032742836074,0.9014065508706953,0.318767330770694,0.07666723998995068,0.07289261101644248,0.11852586986552763,0.4139907241687025,0.19160013666632938,0.05256060730989562,0.956683680452106,0.07668617851476942,0.008135302628344531
701,0.5541357706280582,0.15406663884865493,0.8275843441559293,0.09029182537883156,0.3099270257321974,0.9097089552151619,0.5050142556907006,0.9526918409601381,0.5969955663858152,0.973577261190913,0.6318283990502661,0.7576506408010959
13639,0.8915112868576011,0.9445483773733339,0.19412547257844576,0.4362239883686165,0.3093552044454267,0.04167896874172635,0.29248147806364927,0.9925711653279362,0.9573168890124194,0.20573579470182474,0.02911113702283501,0.5202774698923676
13526,0.8018562391591483,0.7241676114609568,0.22621792349472897,0.9171691939676543,0.06400686923376847,0.671045505574202,0.010929601817751227,0.08436493160922529,0.8473362632974377,0.6689348650221845,0.07985040989594365,0.3596616482292827
5116,0.744247895564375,0.9785752309287807,0.39585981648847707,0.43743026405168295,0.1962913666686059,0.08503647316548142,0.24918455379002385,0.920290238405713,0.33138050609359054,0.6425597911327856,0.7145537402589677,0.1962058444733724
14174,0.9310719623497264,0.523518032241208,0.12031712796958212,0.9475100219121813,0.2495329967077519,0.903053982460158,0.5836063194424453,0.5002024619078526,0.24210394902309115,0.469408075764532,0.987256594075552,0.22453591660702907
4233,0.0872934296216811,0.9797281529019899,0.2575532774200943,0.12441939241850321,0.7213168061587474,0.904940594492604,0.019509296156731012,0.005937162644989023,0.9354780716554542,0.40937199655840284,0.7800369082120234,0.859430935140809
18251,0.13766473211257188,0.19531211294873999,0.4322486604056757,0.08433796207830145,0.6001237143561323,0.4899635178572661,0.37575182206245933,0.7000107254266296,0.894798696912436,0.5293884955483628,0.26414688376288237,0.8177783018775419
31750,0.7888356746750775,0.6350205451864616,0.00045804953218949465,0.11289233878112849,0.7599653128957247,0.8311780288050332,0.8264019980734079,0.021224721349210378,0.0722672900385671,0.17317013559893926,0.5605720994001083,0.01782265999748099
43347,0.8609567513615665,0.15148058379181528,0.5860271993772538,0.31360413378430246,0.5969364631952607,0.8112483301992346,0.9330828116792231,0.693521746495214,0.5318626003862276,0.291281324607983,0.5220165669494448,0.76463064165713
24732,0.009655859415974553,0.9778642960422166,0.06315847810057065,0.7075551410730384,0.6810718334093772,0.04205919662825216,0.16243829611863062,0.04630031963517219,0.9498650269459856,0.9536714816832647,0.9578049231482746,0.9677475538025624
5602,0.6288264114425817,0.17129478921283306,0.25627876166623464,0.5780970659146316,0.8278218593983807,0.9447318021505932,0.20465146971871803,0.7910461209764104,0.16521564715246634,0.4827524127156116,0.7036695398922219,0.7905255509653253
41737,0.9205404003506873,0.9857548044276401,0.6838317043370793,0.9996789076536572,0.0258722672786064,0.7327520125468517,0.9178985358355146,0.24696631167038094,0.9620950576423608,0.8267947674173756,0.5558831367892854,0.7409973136198684
10771,0.8168210494092188,0.9114512197804805,0.04001133198288544,0.2563516481051538,0.3023675520974991,0.6465541078948456,0.22608576981040654,0.012796946663740821,0.05890534949343361,0.5087181690973439,0.008467470530192011,0.2565251138474584
