,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
2553,0.11451450660803199,0.501488696419792,0.22328275500948108,0.994969166827114,0.45114934994630057,0.9665763683184112,0.717340455651062,0.6014542682696007
20459,0.37727901707822825,0.6349965385955157,0.024445436676629274,0.5041232711666032,0.08038690838881227,0.016198683990010076,0.28065749274460056,0.28948377429726524
39323,0.08028477697507083,0.5942440974399572,0.15232129608406056,0.8375481800552602,0.1322210833456967,0.10021000242299406,0.7790143419081256,0.7376886017985146
19973,0.17782239027709867,0.579181600071018,0.23446886378831622,0.9994529358225986,0.9300894385596038,0.012862701540232991,0.5881385372734058,0.2842834716579768
7702,0.6378373906587853,0.1028483038550921,0.9677294894587577,0.9278231944925563,0.9633193664884502,0.7176984931166079,0.30765070678105844,0.17599224925941243
24558,0.1965184948733941,0.5889376413335858,0.48001137662620086,0.128413130395262,0.9144039059756275,0.012591054978968948,0.1431592648788795,0.8733774794994291
22735,0.053974249948134746,0.5186089039887471,0.5070467219830938,0.1379279889464591,0.8110649479695089,0.2862294479408628,0.5993494311147841,0.4346566202437788
7732,0.2267368370590968,0.6996976043988716,0.32121589636932285,0.49217439774147764,0.8600697865716415,0.7136486952607924,0.963093315912897,0.9246687958954195
23309,0.012662927350735468,0.11405428280651589,0.9406021662769125,0.8400581418895094,0.11609338844116053,0.06482710775300775,0.7957449155784981,0.054302364026074565
24978,0.7690862686468415,0.3483481489534719,0.8227023832426835,0.5224117612664665,0.9001600630886568,0.38284479785593034,0.01390094808342963,0.16822675059838768
39149,0.6881941542134137,0.2539248595288825,0.5775185018496208,0.9838124204552042,0.8423931689048455,0.018699005948333285,0.7671426383595769,0.1296742542110012
3421,0.8584564351601854,0.04274510629942251,0.7959005015582014,0.5639499436593697,0.8727001323506699,0.6209183774470428,0.5657056950933524,0.3966058353782946
37290,0.7150716986773197,0.4741172624748002,0.4068779327040462,0.06438088364305981,0.0789687532755202,0.34138635500901904,0.9631532272549251,0.859959765400401
3687,0.06006468363771569,0.23256086004486937,0.9798469579890711,0.6364366929834788,0.2924184582090801,0.6516752011870569,0.6450414380924356,0.5666169499561579
35540,0.2975790436495136,0.6929613042341245,0.2196642037827266,0.19697895901609672,0.9333665893852723,0.974206317993202,0.29945459398106894,0.8230738513720929
34070,0.9297335480446928,0.007605293059520266,0.44992907333648413,0.42625179757400566,0.8712893724073314,0.059338738761556466,0.21242986712492806,0.023720246776054846
16857,0.372510048533429,0.78052902408623,0.22342450921030993,0.9076353154947336,0.986256340019532,0.028049394532939535,0.06319630148483053,0.9881915782770312
32427,0.04053611402673946,0.6352107663183859,0.02581347969970036,0.5070671132743916,0.5149724642276567,0.7292772156786842,0.5152652743982341,0.4736422762243758
7704,0.16752163563678577,0.6240855432187536,0.010109405544941911,0.991425785596964,0.5381847643133175,0.0513302666181945,0.3036646735627639,0.9615892671457451
14804,0.9959411206091386,0.1472311095330947,0.26977537262979623,0.25052185137457694,0.48172284636003604,0.09457761460197163,0.7282717347135746,0.061156861868654606
14967,0.20478598907973355,0.34603657569747864,0.9436811174493351,0.44878305041061073,0.7742159970148981,0.74976698756353,0.3943571127716351,0.38028575077847987
32248,0.7699023893239533,0.2550323426432263,0.7687394460457776,0.7269936064511168,0.6424443796609167,0.4031419027106258,0.18088468333548846,0.9170691555739802
3238,0.001544997917874187,0.1366225536596023,0.9563089580103609,0.803155031245163,0.22481989415719525,0.46311309285058627,0.02766264592719461,0.32714745461548417
21288,0.3163894790279468,0.48699129606626357,0.6227246276577183,0.3653349916845568,0.35507539016052375,0.06331079807027257,0.4363321913926593,0.39088745701249283
13377,0.38670088302398326,0.448920351209806,0.698604836071425,0.06345012336122358,0.43516090668973434,0.24827870940018107,0.8618210338536263,0.0710516774834908
15702,0.9317614708369255,0.06407337706300241,0.5674518409296998,0.24542754851391024,0.9713259777185511,0.5039819758892725,0.8270664121172863,0.003940149629267601
26016,0.2850154768625907,0.5739220052268884,0.5924798485555424,0.6073468829551742,0.5832285331108884,0.5387535137922195,0.7503503176176342,0.7471205399697739
25555,0.5759113880930843,0.09002154567615996,0.9597010105073642,0.8429870562956244,0.026451937823238715,0.7477753623863728,0.8309100150654797,0.8913388152432566
4513,0.975862233245938,0.014005482040239192,0.4598328117346368,0.5638486783212965,0.8309203145349019,0.16658100282248103,0.07225805989557539,0.9941359818642115
36553,0.6953249962327235,0.46947871222824406,0.8962871486606359,0.26051251673451553,0.9891783090337581,0.17218312415077502,0.9504073837116903,0.06748861987418128
35203,0.03034310171469871,0.667393016556108,0.10124092036062503,0.37572349950731326,0.6589553988557637,0.05964550899611552,0.6059212623749094,0.9042742282415667
37525,0.021985582941079232,0.5426743540579114,0.24368456453976275,0.3220648050283632,0.2661681903755154,0.14180861132347874,0.886318556042805,0.22192534354405577
30342,0.028031661539468327,0.201971509190631,0.9566311423597563,0.34449975032715313,0.003659147654004764,0.33182435248826986,0.9507713979076691,0.6577558907965744
26998,0.27612039315808967,0.3581453568339034,0.7426964424314932,0.30193548163537853,0.27556709718159755,0.5971212894163422,0.18078861738213436,0.2094510701753378
35389,0.9516928274137707,0.05652447402107549,0.7936348263311718,0.7022787695823267,0.9898421168730742,0.8852017963116455,0.9697648074539563,0.9960392017698186
36704,0.3945411111353261,0.23044815737283236,0.7004382510006534,0.004979992941086499,0.018848454932439203,0.9621745354401572,0.5546264931709506,0.12162338914569719
17001,0.8364038810940798,0.23338235750341654,0.45209748288983453,0.09943161046470464,0.020471501332367754,0.16037675769142584,0.8164058314747816,0.31072408982523125
2583,0.5731566388816086,0.06221697144662507,0.9295379609815014,0.5220336615906874,0.07265962290691375,0.47643818626814427,0.7556524873187492,0.16434202456274666
39536,0.6935588794464939,0.4210462797282855,0.8239775814439501,0.5248043973607975,0.3801033956569127,0.8969631125892397,0.8361413733705702,0.2699232760476906
13503,0.9148760649952576,0.04416446412840373,0.6826505648207299,0.7179606509666377,0.6899510773947863,0.964444075330071,0.005968212322827233,0.5529003766339838
1438,0.6451176449427899,0.6480047480696209,0.23266419404368652,0.9887816761954745,0.8103327740170546,0.7685770400507312,0.24164721716552912,0.7904217079332588
9694,0.4146958336955596,0.7191463611088248,0.06632023068426735,0.9885857855512562,0.9687735731992796,0.6762010343865195,0.7321508769435603,0.5878505028788622
373,0.8657613868935711,0.13061194573561652,0.647914267678824,0.8532663139865106,0.6919371853392285,0.9843443808100258,0.8815090934406549,0.061180552087935144
17661,0.41437738256588463,0.5974975470574965,0.600212961908901,0.45200137028809845,0.3582403583016497,0.007095022727122244,0.923450965610759,0.9592429663718668
10201,0.9822764904735221,0.2202978571828679,0.4126854205496724,0.014039687959555099,0.6763336295863861,0.7949175606836714,0.11358760115717789,0.4574054687540398
309,0.7347004760097753,0.14648585568602218,0.8948233616307848,0.599306893232333,0.2791700635337737,0.06073261714335388,0.8429700407004421,0.9934365900118578
3480,0.9976499841768657,0.4494549509123535,0.21960665027197018,0.5334094232304142,0.8123628855562445,0.5610438597541755,0.059930280555527654,0.7351095228608574
33692,0.16034873439876393,0.6004532963878774,0.17637219352831524,0.03226947028929754,0.4288289182799133,0.481491770901088,0.9631026747070484,0.7057141714103983
9822,0.11105371337408221,0.46473618807513045,0.6120623683455411,0.9564081716374321,0.9869161899168979,0.9841507323808963,0.3972531345299763,0.46825376035658817
12076,0.7762316974623619,0.7004657926475791,0.5395207334054577,9.523656499962256e-05,0.9287920883233252,0.6947434588174349,0.7525049202326672,0.9712232482195979
27685,0.9146093332612694,0.052528620797809004,0.6565008042914181,0.3145262994529278,0.5659833939367255,0.8787441376638533,0.41722066223853455,0.04699730997609947
30615,0.7277604681701699,0.06526271285485381,0.8383492857142172,0.187672491575046,0.22322704983706734,0.543065598405039,0.008169797100169173,0.9777814554591461
18505,0.2882621857448504,0.38619601240469575,0.8529112358626684,0.09276238220988946,0.8898116020678928,0.05122835529506672,0.306628808627401,0.08267280541428863
22095,0.43900031112190363,0.31154070491291774,0.9424259610912047,0.8859969495023171,0.9426881192067289,0.02870497771172694,0.008294136330618533,0.5249630708133967
16776,0.3322482291988896,0.6425086870705858,0.05696698090133346,0.42667605510392204,0.10924066246254886,0.94210875270904,0.14376190520063273,0.8485634849493516
4349,0.19372946584461256,0.538191237205384,0.37334823928315786,0.7763666667558496,0.44930448534085077,0.9350590561313784,0.020264470739649935,0.42358073194947915
9329,0.4592100762355819,0.7515016717162393,0.46376934646359064,0.8564581059114204,0.9982368731948157,0.3653341398521334,0.9221367697516079,0.9837939798377644
36723,0.706485880593969,0.1382181510110994,0.5507339474454688,0.988782662517449,0.3056060448324414,0.1724560704435171,0.05184538012302844,0.9413894845707637
33585,0.7402832202821896,0.874337535309371,0.10568643575566317,0.16097959174607057,0.7624472218153981,0.8368274276840645,0.0973697288210324,0.6569086503763872
14200,0.9786375217193811,0.45301005241350145,0.041138459509263064,0.010391044385892893,0.092958069152955,0.5688775077312302,0.9086579928679883,0.28107028429526315
21765,0.06125748113276067,0.5028012830158608,0.2755879480930945,0.6643711649956419,0.16203008484799045,0.18784353042570492,0.04656986920590855,0.1939945708178043
34751,0.5129657549586452,0.54394720115223,0.42201909063244797,0.2148258596401508,0.1480013418013075,0.4090693403482849,0.6609334681096438,0.19929477669767473
31972,0.9862528476311373,0.010966176707716263,0.37659710195475077,0.8146116252187867,0.7273750972930774,0.5424196285630642,0.9568956600127951,0.41507011327166027
29760,0.9879069502783453,0.15208798551683614,0.004117311679318936,0.9606997971054256,0.9927392043248771,0.7165491456165848,0.7356954098524383,0.30373093549291186
30796,0.3840591334197401,0.31912197535342585,0.9741351585873343,0.010726541133979247,0.8754618441135567,0.9673423270398972,0.7451567115455392,0.018412826725909666
22418,0.23961454794771833,0.6467911432643154,0.20733155362002428,0.25634316160321086,0.6860134342041829,0.011656920271133171,0.47780147413707197,0.04444110955071421
26639,0.6612551147020136,0.8586165702547194,0.06156689540580104,0.10292650196520924,0.8925053466507664,0.08567421663166706,0.23192665963378153,0.005669329175252977
