split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,Matern32,0.015027644382862235,0.011259317863944334
1,Matern32,0.03663344468436468,0.01772242439315895
2,Matern32,0.06653720764926896,0.024091941791021834
3,Matern32,0.08703562337330818,0.02778742325930804
4,Matern32,0.5320180781398306,0.06931589670421726
5,Matern32,2.8589482182404177e-05,0.0004972185486978904
6,Matern32,0.010142040879164685,0.009416559096888164
7,Matern32,0.04876340623223334,0.020759095332211614
8,Matern32,0.07383329112062474,0.025691811835648344
9,Matern32,0.28026683342506525,0.05032891372395031
10,Matern32,0.16924142648585952,0.038105170967192604
11,Matern32,0.03687263682376485,0.017905541932764647
12,Matern32,0.001105944847001312,0.0031206279703508556
13,Matern32,0.01123646949750974,0.010010518464435595
14,Matern32,0.04158899485865415,0.019387891204105074
15,Matern32,0.13251247511695619,0.03364020264529667
16,Matern32,0.03559473567103895,0.017526199487805906
17,Matern32,0.059647142477914916,0.022811470908870608
18,Matern32,0.03579035151781114,0.01776075769823825
19,Matern32,0.003276411465402818,0.005403906882782477
20,Matern32,0.004929312138812636,0.006449692473888605
21,Matern32,0.00010107033755008941,0.0009290050966650252
22,Matern32,0.0009112480610033379,0.002806296265621196
23,Matern32,4.099236270715829e-05,0.0005989362089770017
24,Matern32,0.001499742004628275,0.0036462530412542404
25,Matern32,0.12840621074637543,0.03279324378098686
26,Matern32,0.009182202071766859,0.008844753560630312
27,Matern32,0.0023691647574251356,0.00453145584032203
28,Matern32,0.04356043088999377,0.01959987281114922
29,Matern32,0.3628581359277043,0.05708778553577145
30,Matern32,0.01358478594738658,0.010671428495453413
31,Matern32,0.012617406871350115,0.01037150661069912
32,Matern32,0.028913209314297132,0.015835100787078088
33,Matern32,0.0036921104780525877,0.005710353615825385
34,Matern32,0.038542326427252575,0.018619488009845846
35,Matern32,0.03347541428029322,0.016735585162462787
36,Matern32,4.67181728548176e-05,0.0006297528142448909
37,Matern32,0.008828043703549057,0.008720866735912925
38,Matern32,0.018230632097256224,0.012624127539226856
39,Matern32,0.08435915921160674,0.02736270511025075
40,Matern32,0.004341740586810501,0.0061070852218493765
41,Matern32,0.01512497478984733,0.011478333235252346
42,Matern32,0.0329330784951662,0.017052162156984914
43,Matern32,0.02569251397902796,0.015168952759334161
44,Matern32,0.12427906919369869,0.03359734802206164
45,Matern32,0.1476725955820536,0.03513079765101624
46,Matern32,3.17074054290184e-05,0.0005190008721577158
47,Matern32,0.031671182911913634,0.016540696495499396
48,Matern32,0.07855491233335829,0.026263438129326945
49,Matern32,0.5381037598130872,0.06932846595327236
50,Matern32,0.11400809849110079,0.031160963541118202
51,Matern32,0.02870260351192625,0.015713181815530435
52,Matern32,0.01369439777749209,0.010911843704215307
53,Matern32,0.0010205574401873567,0.0029946957961104687
54,Matern32,0.00963121446378775,0.00925073886231462
55,Matern32,0.00587600187646437,0.007110275016143111
56,Matern32,0.003167999816265017,0.005245491264283137
57,Matern32,0.02952942089670368,0.016091495501468107
58,Matern32,0.058040682358500746,0.022664262986814815
59,Matern32,0.1451643911511752,0.03603077301979893
60,Matern32,0.17448838427125138,0.03821033503853086
61,Matern32,0.05089067144207694,0.020771990146639566
62,Matern32,0.03556064363190666,0.01747301582371849
63,Matern32,0.016783772307399174,0.012083574751128668
64,Matern32,0.056309861006386304,0.022277710962554632
65,Matern32,0.11120949571416275,0.031065793271936294
66,Matern32,0.012109989268478996,0.010311050251697778
67,Matern32,0.01854140740601705,0.012833918308069623
68,Matern32,0.022143101617236368,0.014105196623909296
69,Matern32,0.02906189623221711,0.01625671361609138
70,Matern32,0.096889473152985,0.028928538497315123
71,Matern32,0.008688688750597572,0.008711381441874624
72,Matern32,0.0006373855250848296,0.002371921754442515
73,Matern32,0.0014709742763880835,0.0036216932364214237
74,Matern32,0.0021809392419540586,0.004432618820548144
75,Matern32,0.11858375804446034,0.0318058574567265
76,Matern32,0.013694640163816644,0.01088775876077442
77,Matern32,0.003094500238438128,0.005213299786676982
78,Matern32,0.07590093637076442,0.0260105413158265
79,Matern32,0.5927108431040953,0.07327095085773759
80,Matern32,0.045385939105108346,0.019688333962893895
81,Matern32,0.06777923880334079,0.024223487718077613
82,Matern32,0.1616717615724764,0.037657060647483635
83,Matern32,0.1530231792997032,0.03690592028723723
84,Matern32,0.3931010069850358,0.05956160222021703
