,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
355,0.9287383014391869,0.36892393923699734,0.526429333438792,0.41147871667574626,0.2579506329569423,0.8307646779267092,0.9660144937458601,0.9044549082482508
273,0.7301026999495523,0.01269059867857969,0.9270582009564331,0.8172031286804812,0.9869262630771641,0.1406016165317283,0.5039358376627884,0.8533707377173294
145,0.3867008830239831,0.44892035120980595,0.698604836071425,0.06345012336122349,0.4351609066897343,0.24827870940018107,0.8618210338536261,0.07105167748349088
382,0.9758622332459381,0.014005482040239103,0.45983281173463664,0.5638486783212964,0.830920314534902,0.166581002822481,0.07225805989557522,0.9941359818642115
43,0.09159434032803769,0.4746162535383116,0.7562991088566483,0.68447723849377,0.7427380490283174,0.005669817737169925,0.9285091236841282,0.1112857833589205
47,0.11105371337408217,0.4647361880751305,0.6120623683455411,0.956408171637432,0.9869161899168979,0.9841507323808963,0.39725313452997624,0.4682537603565881
142,0.3840591334197401,0.3191219753534258,0.9741351585873341,0.010726541133979224,0.8754618441135565,0.9673423270398971,0.7451567115455391,0.01841282672590952
214,0.5758905885243928,0.5418134243514211,0.6298874508988658,0.39293691349788373,0.5989320639169277,0.4145647360170028,0.24854544265030168,0.04911804558334477
310,0.8199762099433732,0.5769715383191459,0.1972383694915811,0.7865266998358025,0.21910886781556826,0.17542953547274318,0.9394412330275533,0.9959654914098147
330,0.8657613868935709,0.1306119457356164,0.647914267678824,0.8532663139865106,0.6919371853392285,0.9843443808100258,0.8815090934406548,0.061180552087935
69,0.17782239027709856,0.579181600071018,0.23446886378831622,0.9994529358225986,0.9300894385596038,0.012862701540232878,0.5881385372734059,0.28428347165797674
386,0.982276490473522,0.22029785718286787,0.41268542054967233,0.014039687959554877,0.6763336295863861,0.7949175606836715,0.11358760115717781,0.45740546875403976
127,0.3387656044781269,0.23632743205074488,0.7387140489284254,0.9724789304548963,0.19097919352896206,0.4176198296633952,0.6500654413141509,0.11920758099960425
29,0.06006468363771556,0.2325608600448694,0.9798469579890711,0.6364366929834788,0.2924184582090801,0.6516752011870569,0.6450414380924356,0.566616949956158
215,0.5759113880930843,0.09002154567615994,0.9597010105073643,0.8429870562956245,0.026451937823238687,0.7477753623863729,0.8309100150654799,0.8913388152432569
225,0.6144592055139994,0.5247698960588482,0.28643470193988096,0.8868928285389385,0.2634092263614194,0.08019660632325773,0.5789762304040211,0.06669869076217103
295,0.7762316974623616,0.700465792647579,0.5395207334054577,9.523656499962897e-05,0.9287920883233253,0.6947434588174349,0.7525049202326671,0.9712232482195979
176,0.46419301059716606,0.7389331785562427,0.39456804614756913,0.7626401931890977,0.777037810364794,0.2134083922590331,0.8244567516963381,0.6909452196119702
18,0.03172340940227114,0.26709406024536586,0.9671869352347799,0.8206555803418116,0.8211493812749932,0.9954997564104296,0.01418523099908957,0.788347498820124
139,0.3763796667661844,0.4868971437319186,0.7299451834645497,0.8427969610710181,0.7391329790488271,0.5758754952523237,0.10908939162592854,0.6026490568498142
242,0.6612551147020134,0.8586165702547194,0.06156689540580102,0.10292650196520912,0.8925053466507664,0.085674216631667,0.23192665963378148,0.005669329175252898
205,0.5529638294214655,0.2097664191409926,0.9800733750829831,0.6056092091260855,0.8130297470842996,0.16782175696560192,0.4257990920652726,5.9018887511655184e-06
378,0.9733479789696672,0.6107214714655446,0.09455914187606428,0.5413093334781898,0.7367463630619508,0.9378871558041729,0.2674265867375053,0.29309070875574744
73,0.19372946584461248,0.538191237205384,0.37334823928315763,0.7763666667558496,0.44930448534085066,0.9350590561313785,0.02026447073965001,0.42358073194947915
237,0.6451176449427897,0.648004748069621,0.2326641940436865,0.9887816761954745,0.8103327740170545,0.7685770400507312,0.24164721716552906,0.7904217079332587
