,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
69958,0.5170445727819811,0.16124150450366193,0.01704401335799102,0.1696056911217888,0.48753497067538487,0.048970281101858665,0.5883306906637993,0.9196226143981858,0.9660218999083775,0.701891127072076,0.9502682547161029,0.07555948988181914,0.18151714617197,0.17338585744923127,0.24377867340457526,0.8390690005798239
29146,0.43268517458661987,0.5661231246746068,0.1252700311184331,0.6130157419958752,0.30526184761597536,0.4587259459017664,0.6146768164139532,0.7379185513557368,0.6672748437260011,0.9523684631256661,0.3720222932243433,0.5588741476194306,0.6485794424930009,0.032826864105353355,0.9908785851557341,0.03280026469215878
22490,0.24385583174568323,0.6527267582583357,0.3308034597368795,0.7446590057752738,0.17067755088490758,0.0013550149433845871,0.577757859197245,0.7748209785300217,0.936450959456173,0.6057181071987572,0.371321786301333,0.003336416644853011,0.19408543647302798,0.5598739059305213,0.05253502892794845,0.5674915906450014
50099,0.26834417331750576,0.2922420235437596,0.14231339824086206,0.20299713598771524,0.3855559605795213,0.03601965597172831,0.7888824796346308,0.4458880084596349,0.8086624379043982,0.8714636698217149,0.5213213608077139,0.83388180566426,0.41802382807107585,0.22473265485471663,0.5765871477089354,0.5128346015054055
99431,0.21294908176029467,0.8744262725332765,0.04233791948714683,0.9226217436205413,0.23622564535314544,0.1817613459921915,0.7444029123382202,0.4728832847948651,0.7358822190257193,0.5579962473730304,0.876932723213677,0.7054558939837724,0.012889074543270004,0.26984910045849264,0.05520884473906196,0.22584947326430158
44398,0.44241964392726546,0.006732765490966875,0.49296531295408086,0.03141895234122697,0.1061346887442864,0.5385451370035496,0.5827153379673916,0.71137051539971,0.9566530385749449,0.3538063928014264,0.8856780527884471,0.006528814064494549,0.015076447075935456,0.13479424754615604,0.6266674402198598,0.7592120445855013
112156,0.0664126260635025,0.3134006678258564,0.05292053746504793,0.34968421365709756,0.12623589801204663,0.382880210348347,0.7932974836716663,0.4132745412197652,0.7741604906055674,0.34210095084809766,0.2642771039663553,0.91889648082986,0.3929561119720674,0.11675657310981072,0.2898561394710356,0.2775112830121766
30824,0.39837313594185964,0.8645980121095775,0.17272894579573975,0.5673322759617241,0.2713050024753326,0.24209479754359914,0.5713910397607406,0.7413167258794451,0.17496680982723184,0.02275629438532015,0.00927123106770956,0.3245311323904253,0.594592671797431,0.01594838048983381,0.7459203638811484,0.4785538438840128
46792,0.1823067830781834,0.42370266934967826,0.3844061358763152,0.07855141376761263,0.14173513466978904,0.6051499583071922,0.6074997824668765,0.6293304519786497,0.12891744975352978,0.26148210375745407,0.15888885966264027,0.37610892506651605,0.4837012117630569,0.05878360502564549,0.09655058977055503,0.055715144594512094
57737,0.0954724734066268,0.24633966761656198,0.14828756232375556,0.20103603499433353,0.9297519736696089,0.07973993115173167,0.6008931347477929,0.7962679307849877,0.7385635753161885,0.4653234185146522,0.004424756545862733,0.3631144119255809,0.27513284125949,0.3050308198779078,0.2338772604359245,0.4650949581542235
95383,0.4407972545050715,0.5969427534610607,0.1618036498013181,0.3170900000750295,0.07644533123969,0.4634864832533531,0.670802275178975,0.5802862128587409,0.07692178818405253,0.5254482662745369,0.2915983837226683,0.46834834875282566,0.4461900101323693,0.360648984094549,0.13545298137357809,0.3599409762499213
54646,0.4440907290613629,0.8617894206495809,0.4560464096402874,0.4298460166207676,0.5456227340610366,0.5782675580779731,0.23301972380684258,0.9347097243978466,0.5468416378901613,0.08367823166317664,0.5507994869546903,0.7277703427919974,0.004202914455854943,0.02472161573442414,0.48493266301977395,0.18497163486866244
109043,0.09533618615715368,0.8626021287578016,0.23981464575362724,0.39686415302091654,0.26219818810371803,0.08750424808585217,0.6109610219617834,0.6192904961456736,0.02760051305440189,0.2722478176043255,0.2710403343435846,0.8875506678346401,0.6430504353225689,0.24281111077106132,0.9820369809258098,0.32634071494060635
109216,0.06529702340517918,0.4610235567187188,0.0221090421481625,0.6070773554111335,0.3582898451753241,0.13351718675807014,0.6469598349048344,0.6274139735043136,0.5380440692966859,0.06986989034541924,0.5382675555827687,0.06288232729037103,0.8803148923037694,0.3149919910187914,0.6266268991860992,0.7465882801300843
113707,0.1489601463928797,0.1275332310988998,0.5367219846339981,0.8052369691196472,0.39593468029756224,0.18708657381472055,0.24162894355927564,0.9307371851487481,0.408271924610792,0.3174801354834564,0.062420595884782534,0.600360782360958,0.17819918465097728,0.8037135991731957,0.7571650308546649,0.7015826131751616
101692,0.9451890912309349,0.030240769027117947,0.10968293506328612,0.11720152368799458,0.7214940216196644,0.04563362690168609,0.1844117414540285,0.9930442929574637,0.10931257001709473,0.43743455525568103,0.29513643753482344,0.8917140822916503,0.017614364751521408,0.4184209589815097,0.49011729461922626,0.04784986484988611
5705,0.021965178150130205,0.37000629654462835,0.03114491906413896,0.17212344613236844,0.3178480716351831,0.9548292564648923,0.6411581101425303,0.7170792411493857,0.4196270303364854,0.9595717717097868,0.5852614449222232,0.2062769219940854,0.6699360920284785,0.16687596269950206,0.9032283866250134,0.41597220344912994
230,0.06041649936426682,0.4054063509069517,0.25686444206467024,0.40433235910764426,0.6436463859444459,0.39890022139343356,0.624654485794976,0.6685796356669401,0.6414769721351122,0.5694385942328565,0.8217129820530713,0.0713389843965428,0.06558135830906972,0.3298556572521649,0.3877121953813005,0.5469472701966664
39798,0.7454435023556516,0.8940807778737883,0.42317525358789426,0.4517361804348805,0.006940269866460865,0.21541487042335916,0.19465128076265167,0.9241536922715523,0.3910053988782783,0.6809590226120372,0.3946558875253328,0.835051006160567,0.4916206946649155,0.15115224425818213,0.20255944535436898,0.018576433559788618
38002,0.33238628467977005,0.1130871869802207,0.17401039337385016,0.04583990958275604,0.04568329232869278,0.7480759616412664,0.6658170957310509,0.6855787694139645,0.9905683937687971,0.7914864522573857,0.11546388421772985,0.010082930218381782,0.463762245625974,0.53919378461733,0.5799735170375195,0.16968308998178325
8698,0.36057204469250753,0.3054280373557882,0.03339646510270433,0.3796261543368334,0.013159504436566398,0.0007005005842357266,0.5427511326283616,0.9648273286830567,0.7142201238698372,0.020769404228801962,0.41818465178882874,0.09116097938389389,0.4045981065077978,0.1170627210073599,0.9703349251975921,0.7893846971446056
62825,0.5877215214726377,0.0008734063192354809,0.358136881956635,0.35919568533139246,0.3342948651193678,0.2613702223760053,0.5246494576259216,0.8237307538931857,0.7846424842764753,0.0832881488467254,0.010264222640862202,0.8539169478564622,0.034509243805523095,0.06836662104116832,0.9981381317276553,0.3719292914786392
61927,0.10690797627932469,0.03441639763206682,0.2980704069432213,0.7501114956211599,0.29915880810923423,0.15441767108097548,0.6560298933736868,0.48288663470843124,0.22274460217680372,0.02645182382173376,0.2765424511239865,0.5459133599902336,0.1590571446954621,0.05797510834187095,0.2980597170974932,0.09197925177960353
15889,0.19099788529336148,0.9343013101186074,0.3332019757675753,0.15430227394271132,0.022586694117083334,0.17242306231693408,0.713937304696963,0.4894493341612419,0.5889816177877243,0.760251696405966,0.6118606892092325,0.4037119994103656,0.1466959255709321,0.30640819863896457,0.7747939853371126,0.03160425304338598
106012,0.09050343345520194,0.8990150303626749,0.022439943231686355,0.5960953730616068,0.5997201284781156,0.03806179585271938,0.5436072679893287,0.8653182254862163,0.3866575247335331,0.09216473823249306,0.5065023403569701,0.7659527290328451,0.05044336106479845,0.43791671706548546,0.6680951501485651,0.7953149864829876
35474,0.8021512785316806,0.6732041204547417,0.2018093858387106,0.8373411324288896,0.6454261119698632,0.3130498830305744,0.2395351863225187,0.8298860352185737,0.2617308475837345,0.43823986559216815,0.07923210497234531,0.759349882521023,0.31824758834201705,0.004484163244605851,0.516284445917627,0.32883084616038444
13158,0.32277426228974354,0.5470598357994629,0.07772082207155351,0.08778315336534744,0.3064740297274715,0.2206249473786451,0.6786749184939789,0.5680889160902911,0.23965124811010538,0.27100407166106155,0.9874011011748223,0.41721726221784033,0.8211508090378481,0.2947195185002981,0.5318521962910113,0.32195094130649576
113842,0.42500303049094723,0.40144183053721244,0.06718290712096976,0.010169828983088592,0.2196653026494701,0.49089971380064634,0.6586210694619403,0.7020522690271523,0.5497944455979179,0.6695436725591927,0.7933936909352619,0.8775392096764063,0.6213241624309969,0.06279262895757001,0.5254873356760451,0.7780964511766505
118388,0.6309090216331312,0.5986933037824573,0.07011455060125847,0.3630715640161634,0.4704551144162805,0.33227876207251134,0.7062267406776229,0.536772247509314,0.13489143592442304,0.8764427935411673,0.6867601016985694,0.382174257690035,0.1757224789775581,0.06230770677885556,0.14952174143114208,0.323363584054429
18104,0.10960640056962048,0.500870435721412,0.3327786370087279,0.4526011124590112,0.6353140773307531,0.13104330496976932,0.5656863789275719,0.7280338851614404,0.514038559711874,0.16432678715958002,0.09346376530110083,0.8836583177224445,0.34535455914371527,0.23326297351553124,0.4899543840167447,0.8695636728761275
37848,0.22526746025718658,0.652798034950247,0.008396352987769216,0.12317881202944882,0.8329366996704037,0.5716215754259957,0.6476758598778002,0.687711163046619,0.4331975930232548,0.4611224872580406,0.5405713182518811,0.08571695199121826,0.39947162263092584,0.08681357231413928,0.4787491959463391,0.07349115561546618
76549,0.21678230030476683,0.39352734835623865,0.1399365484959312,0.05827394725864681,0.09844552559440051,0.805244345606766,0.5427320443139869,0.8602692255433935,0.12628372073904245,0.4278366324546076,0.15103407970231847,0.37136047749017753,0.09588192873711962,0.49629240226510885,0.6247920661294989,0.2890720674636309
81095,0.26262456159452313,0.9430548801613164,0.11575451826040563,0.005950500499188749,0.6540956191109498,0.25494887944141487,0.711432850269286,0.535107042363161,0.5627008141185785,0.5571019944602856,0.5000666571939821,0.4918994938619476,0.0069104940176323345,0.17821263079862168,0.68560784772569,0.4928159045533956
42568,0.08651617278402424,0.7332634765611737,0.15823087584873582,0.8832762588158571,0.4137528050249032,0.29771161735795487,0.6095489808161932,0.6809064748221189,0.5809098359791527,0.7742608106590131,0.6804364853828823,0.8107755599738528,0.2884739692231693,0.5408139557310067,0.1688778661641417,0.29974171413794426
89464,0.787995309472144,0.45566978051813956,0.01676256679860021,0.0719475800494585,0.09909424019141566,0.2568949015180314,0.68593197355638,0.461294995229877,0.3294874482493408,0.01260284011830131,0.06759838501004721,0.8886695181001976,0.3867572578475144,0.3475565399877911,0.9789219624819498,0.048358067236485384
