,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
3167,0.4210938378712812,0.41778028703604836,0.2753422232795853,0.7593433434529632,0.11255185550051162,0.00593522386459825,0.35480752550965405,0.9691295174954137,0.680150397274004,0.6466920184581713,0.9873819960518943,0.6304862778881027,0.25457893215870225,0.24725425574923454,0.1571784585628788,0.6339653028038751
2194,0.33179764853463695,0.6302584354173553,0.48881052078481185,0.41378418661738703,0.5154927911387674,0.9955145724379589,0.3377994898445966,0.8536413740843368,0.8294116985568517,0.9774137228599419,0.16553012533125194,0.7329265164983406,0.07176506921190387,0.04278791741624084,0.9737539328468116,0.1968970307620489
1063,0.5622478892507963,0.9980506929698587,0.18010075806746276,0.6351983897115627,0.2583719201550865,0.22267410703185408,0.5678782650160488,0.8354089218380849,0.945832826684968,0.7436182088659608,0.9420805765793387,0.11207479158402016,0.03201244328980299,0.035594777995832126,0.8965922504170171,0.7792430489441992
1098,0.043982023259517826,0.7239713394519417,0.08833829409767524,0.014646047746329152,0.9039002327434107,0.5504904709210136,0.5833743199021912,0.721226981737846,0.9969204195307368,0.024451863054200766,0.7039943151470202,0.19161133106918055,0.6029570742940784,0.19549510950597926,0.18811655147275444,0.27967732303734966
1563,0.7436410058932095,0.5727347550394649,0.016800158645050224,0.6889998524491799,0.03090558291279617,0.011170200159346298,0.5545143912818614,0.7602837529051022,0.566578631966911,0.07505898184733631,0.8209334677143513,0.2515633695126264,0.4120273785701052,0.34960240473968657,0.09615034305390734,0.32607123201345606
1958,0.14713842153386697,0.48490022792489307,0.05893997232231695,0.5726369160080366,0.3727078463284045,0.07850102940714006,0.6900022513853271,0.4001236175766684,0.9821397114178556,0.25249688652988234,0.7766558051433792,0.8269403046083335,0.9484029951864384,0.23925283646591997,0.6332839451471428,0.21493092927805774
1032,0.1004767320020753,0.7087814400969329,0.43491123137737275,0.222194851007631,0.056881666061148285,0.005768099272970302,0.45465716227875247,0.7474099447916724,0.7368019451389306,0.36164094524736873,0.17887103659290562,0.6882177716750053,0.05702753989914832,0.9312466568270739,0.5969133454462872,0.9501912635970045
3154,0.24272224844453452,0.8988422257373913,0.3184134252539355,0.9190725794478003,0.20630499534919394,0.13330162187919656,0.618001617374897,0.5749058099749758,0.7841194032145465,0.9994222993135088,0.6884239362438827,0.8165077789657197,0.6982171694416601,0.4304695890826344,0.29495185124294554,0.7205555308163971
3487,0.18275318124509565,0.21143371448766277,0.0052948433181683775,0.17702960728548348,0.7615840633646965,0.31343495551486716,0.41514425519837944,0.9181907209871033,0.40149194226676144,0.10158987649818361,0.9042875942260595,0.5923541381643077,0.3905194241316967,0.5226051821181141,0.11122702640606333,0.06887894181366887
990,0.5373116660384358,0.6922237591814112,0.6822229961317112,0.02353774228956371,0.45068971904975097,0.28259506480859187,0.3234668832111883,0.570590046287616,0.020311423319700095,0.22786867541811653,0.5393498308181555,0.7930615963011971,0.27809630521561984,0.29388157173566964,0.1924977904097391,0.08603846027000882
