Rank,\rho_l - LD Data,q_j (rho_l),\gamma - ST Data,q_j (gamma)
1,sigma_O1,2943.638275622146,sigma_O1,2849.4227296396784
2,sigma_O2,2281.349618225035,sigma_H2,832.9055771909937
3,sigma_H1,1708.428509801207,epsilon_H1,384.7584615823996
4,sigma_C1,1001.0654848724448,epsilon_C2,202.97132625572698
5,sigma_H2,546.9993946089005,epsilon_O2,177.15643527514848
6,epsilon_C1,280.8208775134556,sigma_H1,123.63121591724071
7,sigma_C2,268.23295610237653,epsilon_O1,113.17096863547347
8,epsilon_H1,212.63548352928976,epsilon_C1,88.67771691791563
9,epsilon_C2,209.80338122315516,epsilon_H2,34.470885868325006
10,epsilon_O1,127.58759115056492,sigma_O2,0.12519716933283564
11,epsilon_H2,56.639228114190566,sigma_C2,0.11057509967312093
12,epsilon_O2,22.936079107504085,sigma_C1,0.04229091687879651
13,sigma_H3,1.3635026767504232e-13,sigma_H3,3.950349293430104e-14
14,sigma_H4,8.741762055407262e-14,sigma_H4,3.019795269884492e-14
15,epsilon_H4,0.0,epsilon_H4,0.0
16,epsilon_H3,0.0,epsilon_H3,0.0
