split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,RQ,17.58690613459128,0.24752357549341344
1,RQ,20.576385505526464,0.34104958393138585
2,RQ,685.6732176900892,1.8024892518572637
3,RQ,171.194381353958,0.7238272065106302
4,RQ,106.54023409235035,0.6873889699705333
5,RQ,294.3811323399353,1.339326855638516
6,RQ,82.94171127834339,0.7230091399887622
7,RQ,244.61079223827693,1.070592114610228
8,RQ,22.069094408890287,0.3069331988135265
9,RQ,33.75620574246292,0.3726175244951992
10,RQ,362.5683291355705,1.4477220382200515
11,RQ,238.26610519020755,1.2021775512376567
12,RQ,38.25749597795301,0.3611319378236947
13,RQ,159.15195718237112,1.0138344968298405
14,RQ,89.73850426677033,0.7077710865689884
15,RQ,201.7550475171487,1.0744261795869567
16,RQ,212.2022752207418,1.130926584628038
17,RQ,255.10579782009427,1.082792211466821
18,RQ,74.68985881547792,0.6071117842680139
19,RQ,885.9212415692912,2.3178817781001353
20,RQ,280.1514909606581,1.3051979520402524
21,RQ,92.66610414953882,0.7594515201675658
22,RQ,302.19418016996667,1.1793165319369523
23,RQ,101.87098501684974,0.7302871478959955
24,RQ,347.14142790064744,1.3548545994648695
