,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
425595,0.8866445816569672,0.6898153978919545,0.06831195326925556,0.4038144402460655,0.8399494681414634,0.020194712556177413,0.18579791424040012,0.493166703127189
365045,0.9670625133521641,0.3988471966367548,0.16617030823200704,0.37020748641226325,0.9813767942306082,0.04956030824868586,0.27409404086066835,0.2054071330798054
285433,0.9744288788955392,0.03961346837711282,0.41155697930402396,0.5293909922401618,0.966870254264905,0.8274992523729954,0.04231707778457847,0.9947726978212638
114105,0.9914802189156918,0.026606286009812515,0.3506203916998188,0.451209962408671,0.973232087311608,0.9941111413563699,0.30499612414178573,0.19080840111540287
431164,0.982358835656057,0.6519303281671003,0.2103946218041494,0.27656820954522093,0.8264786638638434,0.9155299382361278,0.4356224552493753,0.8563716223090722
99462,0.8996105731326907,0.3585998560417767,0.3046251498497282,0.47365675907724525,0.8335609430905911,0.06367421203974201,0.060054243769967215,0.8552257681101553
399700,0.8667513916642333,0.13653847870803837,0.08502818278697712,0.5470867146957078,0.6635130562228165,0.09582557128184009,0.14070507504981006,0.9951592906786034
68722,0.9842518875193758,0.3089924597049592,0.3387947951395102,0.3783612747031244,0.9370279576299898,0.06928672422573212,0.32029042935105617,0.8515986444913293
474056,0.9313434124800739,0.1396831046543681,0.25534277876444494,0.44691548269060744,0.54870758427775,0.13454152090267776,0.11971175677624245,0.9520904204567692
215904,0.9701082243652429,0.1257932564486756,0.21833566463383897,0.3955798324252488,0.9374306935156883,0.15969005137280085,0.2714136385942981,0.7110699760039799
377950,0.986167329406793,0.47268665284354633,0.483725390274014,0.3253245907898966,0.9989531998844102,0.8540115547434717,0.2044796119752322,0.3351763682414524
60652,0.995893507901703,0.33914565711613504,0.3924935468920022,0.3526553909771498,0.954999693118236,0.3869524252719566,0.03492210862278613,0.7040812315529131
213351,0.9856776714773418,0.6203628747371629,0.4807830820554296,0.2724444397996438,0.9683931431467268,0.7298652889614865,0.05699978230748265,0.4585479168529129
79390,0.9722262202390035,0.15298350213717168,0.29612583234763024,0.4128425081044665,0.7927264932086054,0.9143470256118951,0.3683952088356366,0.04617282496759237
247426,0.927050317300328,0.2090380554877744,0.015221642782530551,0.47541658250230523,0.7639049507968173,0.1537378301256362,0.3805245859921688,0.7979709059898841
27831,0.9926790042618372,0.0299618299765123,0.3265461982646577,0.44989581676676793,0.9689092753404327,0.5628515223123756,0.09183701159732693,0.934045483115094
198457,0.9198806158036952,0.6023891841903469,0.27070653942166717,0.33608792562946993,0.7553886126814497,0.1897349278383071,0.26274173253046634,0.8954082696774075
152343,0.9917164081578499,0.275517590510083,0.2998806615523568,0.32302046817689367,0.9771770233315097,0.13078951020018237,0.3263128109996302,0.5140688515957719
459244,0.9504711028320407,0.5940637062170901,0.36819207528583653,0.32032154540368063,0.9477498468509146,0.9924463410262192,0.2714332018835276,0.18963444343496266
232365,0.958802500283886,0.6000610617927904,0.13185865892187404,0.30952736561571104,0.889198321992187,0.06181874486912464,0.07792842522822796,0.5610075911082275
138942,0.971215417779274,0.37261172704111023,0.25139811840500037,0.3592788358512858,0.8326916789675766,0.04606749198808702,0.24004753419531974,0.49633067434445655
25919,0.8902826420087815,0.8714604545513494,0.14960548197706877,0.19380360950095518,0.9430626125819352,0.4377401796036793,0.03910062863055241,0.8680072742401775
294057,0.964131271878721,0.29143480171085595,0.10744511224794522,0.39332800046669686,0.8712306204120935,0.9369238457872536,0.5337480523023858,0.11213046866501963
79904,0.7468047824497911,0.6264372462557053,0.004297189850421019,0.5127366792311517,0.7078879990394061,0.05753056859487609,0.22508041403039844,0.6094082541792778
329623,0.9389253770268915,0.0011934957680444231,0.2231977805547065,0.3753915598081751,0.7635462267423841,0.18203473929532601,0.08727649022624098,0.007144500379447706
116692,0.9973682590265023,0.7458948129296917,0.2524124901272465,0.16046728615817157,0.9382492632297494,0.9073913227908863,0.20759995627662547,0.5500551722318164
50699,0.7528309740841488,0.7601342951368979,0.14010459766287367,0.42878191986206454,0.9334041007393312,0.05506070892359921,0.22218546042472573,0.018207335831521024
231180,0.9920113260838042,0.5543182789643223,0.45078857153150015,0.24573436731668052,0.9127129920232203,0.636662218275034,0.16963032298335282,0.5895140833137097
199894,0.9083685192141783,0.38019847618596897,0.3229997978248226,0.4326804363955103,0.9085998034218606,0.14364135539748235,0.42457557711111604,0.8321108001031691
380471,0.9725742124238078,0.8167182250987237,0.04088787982792934,0.11027290919518162,0.9598758146246683,0.8251729209703892,0.10686051246422262,0.7557213617841668
113264,0.9828541464297121,0.509780855995014,0.4645411898305317,0.2720145736592433,0.9102996966553387,0.7130890958483445,0.08172261516162527,0.3501139522541186
307612,0.9887149176258406,0.3127598985656488,0.5494731922494425,0.3649377841299396,0.6866849427468926,0.8538219213986363,0.19516283723178643,0.819840926809874
343339,0.7476628089836673,0.6707280699134807,0.18507479920300307,0.46562349773003664,0.7428818069972297,0.040456195269434364,0.06758432662017905,0.5720927820455604
151973,0.9422675717448594,0.36380519994735006,0.4833165364355379,0.39649469006510124,0.9197226479602391,0.016547651071336177,0.036404400600027316,0.7051847869480777
428046,0.9536922858256854,0.5392652247131509,0.14276378500333048,0.31188450460441286,0.9515844418853326,0.5246516829698766,0.5463130606311221,0.6740388805185558
33663,0.7454616603222665,0.6356267111051728,0.19952219266538354,0.49512508072195555,0.6680922702391348,0.1378620926036483,0.025764677301990776,0.2963792312627994
34996,0.9634192730602286,0.0765916960695526,0.3040053918682659,0.4325634440012744,0.7408048202673743,0.37398558637063134,0.4500814420309527,0.9449548778208239
365088,0.9878992432846104,0.7527888855319652,0.22408259315129783,0.2526195394311523,0.8410175296809675,0.96653485048203,0.28428580204967396,0.5224014055412846
339490,0.9417271772689321,0.8707485527266532,0.06281250881138817,0.13556253324052578,0.9807942320141465,0.6954637967208512,0.07719964849586858,0.7723686307053184
