,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
108,0.6907873209553921,0.8548023800708692,0.0,0.4673077470485694,0.9721278629020167,0.7661564267699645,0.0,0.7533768455859194
214,0.8779384828102986,0.5329226389814614,0.0,0.5534313768233938,0.7226840380445619,0.8204278879391631,0.0,0.46938223624990105
221,0.8826594618940757,0.012925154545679884,0.0,0.6217753738783837,0.9645767266021411,0.728995522739964,0.0,0.9240231345580087
224,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574
229,0.8953100626056001,0.06079756871998373,0.0,0.591075936494779,0.828336146681184,0.8977874095813073,0.0,0.6143780022684088
231,0.8990139926581585,0.21551921341668262,0.0,0.5668544526490809,0.8751685692928047,0.5289367775978088,0.0,0.5318144601709737
251,0.9233822350639047,0.0024061605235372228,0.0,0.4751473626561291,0.9643096490095556,0.10961024981454877,0.0,0.40895095520333113
253,0.9270503173003279,0.2090380554877745,0.0,0.47541658250230506,0.7639049507968173,0.1537378301256362,0.0,0.7979709059898842
255,0.9313434124800739,0.13968310465436803,0.0,0.4469154826906073,0.54870758427775,0.13454152090267774,0.0,0.9520904204567692
264,0.9386413125542222,0.030631316597336165,0.0,0.4369536166554804,0.8473912399184947,0.2536437180532048,0.0,0.17273859283880943
265,0.9411716154403775,0.4256492825379582,0.0,0.451640791978946,0.7846354126205615,0.46198193547272187,0.0,0.27259187276557134
266,0.941351928990578,0.011519888828035082,0.0,0.4873840982659479,0.5964816819614212,0.8446417460840976,0.0,0.7617344466975638
269,0.9420246242476903,0.1368208779458957,0.0,0.555819574543401,0.836266293105924,0.9506453456007495,0.0,0.807622251463624
271,0.9434625683510299,0.10847311899630027,0.0,0.42832418452553966,0.8638556569262927,0.1453011644108768,0.0,0.4151709937338963
281,0.952440506395351,0.499551918586816,0.0,0.3781784328292286,0.7519841331604976,0.2032356988559983,0.0,0.07101605442572378
294,0.9634192730602286,0.07659169606955267,0.0,0.4325634440012742,0.7408048202673743,0.37398558637063134,0.0,0.9449548778208239
300,0.9724812948851357,0.4299954292019228,0.0,0.4450372690018857,0.543004052754645,0.8773255359048978,0.0,0.7197984351454364
307,0.9798760445942505,0.06510216716119566,0.0,0.4216258249397122,0.8996763312252245,0.6325036335789636,0.0,0.04274682914381506
320,0.9914802189156917,0.026606286009812446,0.0,0.4512099624086709,0.9732320873116079,0.9941111413563701,0.0,0.1908084011154029
321,0.9914823497513013,0.04558213340825734,0.0,0.4010591976552598,0.6439479320467654,0.9088948952106284,0.0,0.29347991714873783
