,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
576,0.9889230381561142,0.022501729311412776,0.34532771048173,0.44872304289516624,0.7857164722613532,0.6880588500053337,0.34811535930245857,0.5377852667468267
452,0.8712115912748415,0.7062658712150115,0.4563327198005459,0.44920823259450776,0.789555110588537,0.9869922313931481,0.044937162361528796,0.9899448810278547
399,0.731962739025362,0.825101449023581,0.312389952947584,0.3504360187020538,0.8392340440420196,0.8609675854022409,0.2824226784048561,0.973175080352163
512,0.9054061458920563,0.5110027407403712,0.3062197776249372,0.41301529294144274,0.5248293984212558,0.6788838716973812,0.16934285254335255,0.429941854936652
547,0.8519104173231874,0.21741670485125175,0.24184481703790459,0.5458563317131835,0.8398384916038257,0.5192745080996123,0.39943812358269687,0.7507872592839544
537,0.6994965370059268,0.6253888381147712,0.1023852629011879,0.525328471786663,0.903205812824659,0.7947040995708153,0.38586228412924745,0.6095733138824428
457,0.5825794966143151,0.8332475150379332,0.14038905321565606,0.44143273350164436,0.9410131656774898,0.7414883999213026,0.13040370003843943,0.03558939653352642
534,0.8169693979927939,0.6720331643800646,0.237558917763005,0.38921216279246823,0.9350612366683074,0.2747127780244079,0.3914157508681932,0.7745527896742675
604,0.711793137743815,0.5378677001653926,0.15068255108936057,0.5925994812519455,0.951902679119469,0.7442907221845256,0.26129111363701574,0.08911217594607751
563,0.7795963039100162,0.815438231459232,0.40213392611133775,0.33795376961076157,0.7575676488946019,0.9780233309645958,0.16750632231861332,0.5921301144552883
540,0.9798423138023628,0.22168042808868016,0.06434120535102338,0.40087164451706836,0.8498988067942739,0.6914582535456809,0.6154537378956909,0.7256845000924489
345,0.9748378477330217,0.8404601779472043,0.02612763617233713,0.3243816721632921,0.8913431805979377,0.7285894381621255,0.056353604386381415,0.9194279368095002
93,0.8779384828102986,0.5329226389814613,0.03947117559129172,0.5534313768233937,0.7226840380445619,0.8204278879391631,0.09233731877227241,0.469382236249901
358,0.6840537130576068,0.009167259968863577,0.22822029475163355,0.7756115662245389,0.9490738682726999,0.9365981058580239,0.014341912995361495,0.7163665226716074
303,0.8280282242827895,0.5596587205664146,0.2701234848520737,0.47991276198726834,0.5449380737345613,0.9135289072135717,0.0009386735520449055,0.17784794098209825
458,0.5599480316144051,0.712243439418674,0.03383290564546476,0.5856739072455831,0.9952775316541853,0.30591033891891833,0.14917976597377863,0.868337687321663
168,0.9253663611200703,0.41901563382611967,0.29473615485619964,0.42662700030056305,0.8412811972430658,0.15725755032561795,0.018971256784280445,0.07346375333523714
494,0.9023042329791968,0.7876646342251782,0.08173778965819316,0.37535241567588323,0.5762724133043174,0.9167112954831306,0.05751766922919513,0.2068826965537678
507,0.9536922858256854,0.5392652247131509,0.14276378500333048,0.31188450460441286,0.9515844418853326,0.5246516829698766,0.5463130606311221,0.6740388805185558
517,0.8755896651103983,0.18123534241348527,0.30592776933426985,0.5865197173087429,0.9021439597890867,0.8017638469702137,0.014675108923263867,0.8691835091640328
570,0.8808255557426531,0.04960164621391054,0.027587274948030285,0.5118404955701902,0.5358133837003048,0.3873017306645152,0.20260066839451651,0.3812848404266965
339,0.9917164081578499,0.275517590510083,0.2998806615523568,0.32302046817689367,0.9771770233315097,0.13078951020018237,0.3263128109996302,0.5140688515957719
137,0.8629230463726886,0.43323113075651803,0.16174490298749977,0.5484417455535671,0.7037059731837769,0.7108055714710434,0.20717242238608943,0.9204481306458968
269,0.9118482489718195,0.04378793500199607,0.25233599647331234,0.4432634308464745,0.6982740171593017,0.37375443238977596,0.03667877437284522,0.0224782509329993
556,0.9288017383215337,0.142752655030489,0.018113998736097654,0.5457664536685778,0.6204719550293649,0.9864888242278952,0.18483182964807296,0.24763120866370505
544,0.8787290766883266,0.022295614459061797,0.0906364989852648,0.5299633783947374,0.9248255958721842,0.06756774065617946,0.06390260230492656,0.03467969836171303
491,0.9355886856524113,0.5944658002500739,0.18584129654633022,0.3061397268934687,0.674879035160447,0.42827238719257366,0.19228110699159093,0.49038564130896484
258,0.9701082243652429,0.1257932564486756,0.21833566463383897,0.3955798324252488,0.9374306935156883,0.15969005137280085,0.2714136385942981,0.7110699760039799
