,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
1720,0.9053032095119301,0.3372243897252814,0.240148931242396,0.5821547256810705,0.11221938454525898,0.7504206019257773,0.5989454019815861,0.9559885875166435,0.2573909757991618,0.0961523771269767
1425,0.18602537304470634,0.8518894483723568,0.6353813978474409,0.5552746376171471,0.40657164091573006,0.5571324171313546,0.9977095510745677,0.5458570153609453,0.7224529984168635,0.819887249568445
810,0.9426589138380724,0.02339680567509373,0.08803229210872465,0.47740493858791194,0.9002155689896592,0.5349532393818396,0.11409200999409207,0.7564035986193766,0.8900435249510424,0.03464734364041707
577,0.5192623082789413,0.7819146935681546,0.2999827204185212,0.6574685293256319,0.1694488913709872,0.2946828665726849,0.7498705342276967,0.16564755568399853,0.5787082102573684,0.9942123097559176
1548,0.7762107426905881,0.5672474718432751,0.8468156154846728,0.22304267574945516,0.7251405050988273,0.008246598971320431,0.8538223305931584,0.9471715609595117,0.9407582817805227,0.33398473700159576
707,0.9051612100981682,0.4472659450889579,0.30731458900669767,0.5617835093360437,0.425713316236382,0.5325095144762847,0.13181430598639404,0.5821416503568537,0.7507166848027585,0.09090129965946739
2137,0.9419418824134015,0.7760576074163497,0.6150376308058592,0.36044913832311937,0.7033728442389676,0.9984743135454586,0.1476171168650102,0.45092817168383154,0.08931953575254024,0.6236584414246039
1393,0.7389597108387308,0.8093584385494702,0.6472314816893363,0.41772495495015183,0.07467877500490107,0.4634659110541392,0.4186557935972342,0.9682535906302672,0.1368272140662962,0.4399328434954869
2342,0.5552361895167295,0.9145259582154617,0.1824243908912653,0.7049972498145136,0.07457213105924447,0.30752592176799765,0.43500125805519935,0.008120809511258952,0.678570667867711,0.22809778795327001
2107,0.9089586358777635,0.5676918882484902,0.24124714899004984,0.49314095570067445,0.32312085562435316,0.06289353436696249,0.44702146115733077,0.22005780180326082,0.971432378526469,0.698522450012304
1954,0.9579729232335906,0.7134229756287293,0.6865063698549381,0.3537488571773697,0.04244303689458787,0.8144000766457951,0.4930200462058694,0.1654451012238348,0.17578426051465468,0.6641707369188881
2180,0.05306305255601093,0.9995928501160716,0.9265747963542008,0.11275668697920502,0.6665357510748029,0.6323754478658464,0.9894226041070091,0.9772159431041115,0.1714331126609045,0.179865259885785
1534,0.03878940644259728,0.7181936581074548,0.8216694059224123,0.312804148735615,0.12067039028027989,0.7930725616219781,0.7469127352247238,0.749369145956229,0.9111303586326118,0.02361991487869424
516,0.5504137054680152,0.5657066336127505,0.23042569327497053,0.6369834672378372,0.7326178180042269,0.4618210787249538,0.8971525012744243,0.024051881277475394,0.9883254725568112,0.1206132934419156
1127,0.9042648971415722,0.5197172252832071,0.536179237502786,0.241247594057529,0.7501553746443709,0.24291870429428689,0.8422112741294907,0.9487559670522676,0.004133708065935696,0.043165953660213974
492,0.006011372071810059,0.6913953577459104,0.40013979090651125,0.7151637289022054,0.596521454220714,0.9420983593510485,0.6118403552322748,0.9577118225102953,0.8930306917076248,0.9768823456514111
519,0.6394596849076989,0.46485937415404904,0.943705703066471,0.017611461140548394,0.7272583105351601,0.5292360472706691,0.7654560123736984,0.5456830400961636,0.9017787323715735,0.4984564322937317
1221,0.9596516203088967,0.2877111955702765,0.8006139373244008,0.054978616837515454,0.3652758379326372,0.4789135903197897,0.571066494024858,0.9585912472123609,0.18456558598426437,0.7790569186880397
263,0.8481640582662379,0.9727704176298151,0.7348827509680782,0.0804482720513125,0.5123604680903026,0.30200199774090686,0.20087338752670636,0.8414683705600218,0.09978847167320451,0.7355702081362369
1747,0.9821219301356543,0.35039743692430714,0.10970725459566998,0.4616931151324486,0.909825378638544,0.5120813705689293,0.8211680399985354,0.5306944763428405,0.29077770835651057,0.5586787004734688
1671,0.4036905382948818,0.8784449053413438,0.6849104960901263,0.36637861112330966,0.6110151214545959,0.768632052906996,0.9179777119319189,0.8192041610634521,0.007912753133398398,0.591739685836115
1810,0.9185550214467643,0.04174290927945138,0.7387415621247801,0.28757067888745347,0.4041112380197822,0.23986757850284923,0.94181865124861,0.9489475259180526,0.9700189633989812,0.6080833803409641
2339,0.925009651414851,0.1648706349193925,0.6998222626318958,0.4641350878253063,0.8417018353781823,0.924681994291105,0.8330407178965937,0.52848365581827,0.7966400930350719,0.4895913582499864
146,0.6607590080621234,0.48120728288460884,0.5108191278310042,0.6001839812976937,0.15658220222567493,0.2985308748784954,0.966310417319628,0.962841968209524,0.6649906978053395,0.4691667444722185
1647,0.6122531133895438,0.20243344157700843,0.5623973476327396,0.5663336540273524,0.10289303640256475,0.7171278663771138,0.4905642945488427,0.8236396266280226,0.8871420604358632,0.6523125320179785
19,0.9069303333018175,0.720450539874518,0.8002207089620668,0.10413110065356453,0.14769457715901746,0.18143280550574892,0.19521817606243594,0.9971189511061085,0.3828409079967394,0.3011978592006185
1139,0.3792472211888092,0.5479570373412268,0.22724400046999918,0.7099590283124222,0.06619346089343092,0.6025280008069127,0.7581116240003555,0.6413582846676102,0.6763674475191365,0.7579146909840092
848,0.6849141860134659,0.41764646136184325,0.42025317207049806,0.4356417811433935,0.950988364055515,0.5926468128033068,0.07886839870908378,0.8906203002830618,0.798515092892895,0.8314419991580243
2258,0.9870425292330305,0.001770079697228759,0.5021542847861863,0.3598266559821057,0.36841878730589794,0.9577962789360073,0.05913181337295205,0.7906027706823032,0.5746615889661884,0.5920359014575721
1804,0.035542861725800554,0.6159254202232798,0.44683250183965034,0.3671216794019849,0.23010698881136404,0.2918771817077327,0.41473564744937896,0.9860023645257027,0.9944149421289594,0.202291595480915
1761,0.8416502588289655,0.7376679074900163,0.799740307976301,0.2160918307584264,0.8549314543848797,0.3553296825973942,0.8054532415397129,0.12507482377635934,0.9356553109955691,0.9421870471099767
745,0.7007733818292413,0.058356182984218,0.8830877228703987,0.27909421669750406,0.8649263916489399,0.8213949258708614,0.7913938147541648,0.9159246297682563,0.7988865994301472,0.9215559445204928
93,0.8263741202380508,0.5534299781827589,0.32477613710555275,0.43859985358715714,0.9392431040167246,0.46256222933315927,0.20013027229849845,0.18440638686475253,0.9426215937059359,0.31965236620036186
409,0.8319254964773116,0.45565301021435733,0.8497748423307973,0.15379188686629203,0.16951560778877892,0.9570927583700566,0.7753979670283349,0.3792043191794826,0.1965583395513197,0.9552040011154329
817,0.5704627394826036,0.8023697042540279,0.8691770569734427,0.38078178267725155,0.31550521182509134,0.9881796833428128,0.8542909338244238,0.9718754846663267,0.024641834445072928,0.137749146472246
588,0.6862439336624936,0.10165957035802388,0.07129293913083208,0.8554575801475292,0.022113753848430243,0.6156676831369778,0.7547059248687825,0.7265739156389192,0.9196651777993405,0.9475950566090058
1302,0.5501621723331667,0.909237497101114,0.7686558507987683,0.1686918046313336,0.009525677606560808,0.5075333138503125,0.39843573458504805,0.25613491181656023,0.9469744597775193,0.9608206523146522
2267,0.23260341894371422,0.9836932809647057,0.8241092807139943,0.014182316319433314,0.9253745104256466,0.64035793581645,0.40815747463175994,0.8457579002470698,0.7108365487224299,0.905643385473744
1949,0.39672852582706014,0.7947407923934243,0.49614863592163116,0.5520281172546554,0.9064669711722904,0.872595491133645,0.6310455850444943,0.28603200127768696,0.9504452499743106,0.008628530378979657
2276,0.6044088900747112,0.7348809988199393,0.05870759568480287,0.7797887034783704,0.17560543470205597,0.9221193833453061,0.0720635477620103,0.17642594068264247,0.7138002387249323,0.9409157149964855
372,0.9466069117628177,0.058818640658711896,0.23427015062340917,0.5571158110745014,0.5434960469745126,0.9251457975852322,0.09886052977443674,0.24040234128074073,0.9899622127997105,0.8607887776255186
1986,0.52768257219501,0.7607440051341751,0.006320375380523576,0.834752833751334,0.9107398788136386,0.8817807783469741,0.3717682987813224,0.35453794098698244,0.6064119532915345,0.8509306088457267
1208,0.1177283297215651,0.9707500307762611,0.6840493091693423,0.3844819249603604,0.049465192918031385,0.020005411125169462,0.6321573034284182,0.7390218696127145,0.6151009652685645,0.3890330630811879
2174,0.8161879730162278,0.3360206461254579,0.009299386217161837,0.8785203800375608,0.694003527096283,0.9932183375581599,0.0030967079714849435,0.7172334512259634,0.879859832307488,0.4351420388266193
28,0.05546675820146568,0.9436890946391092,0.026000738644510014,0.8639417656403542,0.3018976047004847,0.5088726131006963,0.9350094261005552,0.20015169658689752,0.49324629084889987,0.36417146860050537
1213,0.9815069636503229,0.43784648505420554,0.8992682250540411,0.02954539429617136,0.211552648257056,0.42082718771663336,0.9776259368973697,0.9097273046081886,0.11188756121332459,0.030002441417803092
1292,0.9358447054569419,0.8637941243641537,0.3134625583690314,0.5084545117992127,0.6194318080038796,0.7057741446348617,0.061409977113398906,0.9245731948393152,0.0843720712770687,0.3025220435851224
2177,0.514918797845517,0.2582782268203034,0.12462706910932977,0.9813476163666225,0.7097868338082335,0.8363537897058352,0.8822396406160641,0.7820395857773219,0.9758291916907192,0.3586919185223898
