,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc,is_pareto
2,0.3164506131665465,0.381408533727965,0.3177687214203246,0.2749562734722052,0.2467937485323241,0.4129221416534516,0.4870761430098943,0.1405980035865076,0.2341603586187758,0.0315397501900984,196.61886183386872,1.0304333539494457,13.303647720000072,5.3781202437178095,3.5102392215591407,1.7123045848377791,0.37897651573550284,4.802432061789783,0.41606144842533344,3.297274406087687,1.3651419790654995,1.5906975343185792,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
4,0.3230639289081191,0.3777279622823031,0.3364432847632864,0.2505004750512773,0.2007249782083881,0.4807296361814188,0.2331999219820329,0.2657174438140549,0.234363898480482,0.0233783111102265,152.39427414432856,0.8885425137261884,11.939706300444504,17.373325344673155,8.390016974363672,3.591516976353333,0.6526169166589509,9.170422059097865,0.6687428395399985,0.15953112015660265,0.29451332552145015,0.3468863453415736,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
5,0.3235624223941789,0.310626566480376,0.3082549035744318,0.2888778869965011,0.2068722109703848,0.492256224943735,0.4035426410711496,0.3142038150284856,0.2393058621314147,0.0725597886212007,76.6520089976112,0.6259929116257795,8.253867049555492,2.6082414552176933,2.1372317386001023,1.2597099601177775,0.01921095030223975,0.7366297028010051,0.07946537483444435,33.47982041017582,4.480039895533518,5.780462325980193,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
6,0.3358801262583634,0.3385396256990011,0.3433431663185175,0.2540573186565647,0.1801589892410119,0.3651886217650842,0.3900387655908672,0.3158759278209641,0.1703388264016664,0.0755839905850816,15.588700056211218,0.23050401591794642,3.0735417437779233,0.16895600708498087,1.8383627830614944,0.3989889129311166,0.08703054098438665,2.5294465991531583,0.2017986090002224,6.237890599912788,1.9573218226173854,2.484573283495885,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
9,0.3522548884672536,0.3532669953592819,0.3403552809728404,0.2581848613713036,0.2038844100073232,0.408037567245074,0.4706997435009292,0.2014508883976174,0.1771075245777896,0.026826190324302,88.58811759793142,0.7134694438325364,9.27586699111107,1.5155718443439357,2.2238235480038613,0.7521758835244412,0.04513488192760135,2.9745610948818917,0.17421685745555499,4.385235463982594,1.5880566767454474,1.8514193612600223,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
11,0.3534414132713678,0.3813154510877167,0.2845429331867308,0.2984569373825154,0.1828335667168253,0.2878315372388832,0.3236896924409382,0.3122079658345142,0.1616733638884035,0.0324902055936229,196.95093104661618,1.0461999673005564,13.880961553333417,8.79230103452895,6.207710838771104,2.5249078506799987,0.42904160603859653,7.4584062720489035,0.5367017648326657,0.7621822025920482,0.6452820114801118,0.7439773191297746,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
15,0.3730588436668338,0.3809523176974795,0.268163690761761,0.3075302429984152,0.2142401077166328,0.2826162826688119,0.493718675317343,0.1997253494973495,0.1267385077585229,0.0605094681298276,375.48328155518846,1.4728385935524801,19.128868773333398,2.7195366918540076,5.609993247444817,1.3401750467866662,0.20970460323696272,7.260148798428275,0.39023725822533384,2.2272654621449646,1.0892103077678401,1.305465590605283,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
19,0.3879896597073708,0.3210245572337054,0.2953950202812789,0.2893615968691437,0.2299239906162148,0.4504467181219064,0.4576795315231717,0.1636561301017868,0.206063317734644,0.0174811319233055,137.8984726468594,0.8841329096356303,11.359096337777828,7.47064953688826,4.773649569023308,2.0065311210355565,0.2909944021790711,6.116552835001119,0.43085841553866666,2.261323849543963,1.0597453567042943,1.2241455013311822,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
20,0.388559405120622,0.3107508003171211,0.3272518968694273,0.2604527381763095,0.2027641561962345,0.1953122233087501,0.3937125884586336,0.3140230714454425,0.2731097605149528,0.0556385665786648,126.97967944424018,0.7787746411040164,9.683666233333497,7.641529900550054,4.901226711499625,2.26731095959778,0.01857392511419163,2.7039522790861397,0.12947737674815615,20.232335348222865,3.566234813483525,4.380088226188673,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
22,0.392256954657981,0.3776635307038172,0.2908065559421526,0.2897066389954494,0.1734503115872113,0.1974567334397143,0.444020449916516,0.1427639440846325,0.2340422397175678,0.0357359681135774,447.57961012025663,1.5735080202847473,19.892580546666704,19.265792685087934,3.4013235037846514,2.6912021126244445,0.02804488118520086,1.1661063137031336,0.09964553897022266,10.299477079146603,2.2472390891431595,2.5010265676296823,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406,True
