,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
36,0.1821280461902146,0.4664845526790303,0.5461310804177605,0.8030835684211456,0.5138991307871931,0.8057382371167157,0.4993895391474421,0.4846748905492122,0.2088421011779433,0.3225370655850223,0.5252892064740722,0.9813557397592139
81,0.4085156994960161,0.5097508965558558,0.57372462911116,0.8652343492140119,0.4999595122047211,0.571362658046715,0.966055434803296,0.1529764499024987,0.5520237960698922,0.1488955874682073,0.44165977387437705,0.3064608712140344
101,0.5068548434657676,0.6772052505305247,0.27888691234574436,0.4956245126038537,0.7561963925839759,0.08743533670946728,0.21919490850547918,0.5839208039692525,0.9031035323794333,0.8983443768771516,0.11469471974112512,0.5179681181724047
102,0.5128293173429956,0.562411992232481,0.2824111516572627,0.04376020764306414,0.7386751785557812,0.6681820603512009,0.091095375898966,0.2228127797498661,0.01980684345055482,0.647738950723539,0.7939931869887547,0.16993793800503412
107,0.5385543096212833,0.1434698993411626,0.49371843808419913,0.09966261869715942,0.6878853854354926,0.8461408184434165,0.3814521653165757,0.08402213773479841,0.46931534048733337,0.10339286029799212,0.2361587242330495,0.8675596093207391
111,0.5597380412149116,0.6589172761644498,0.5193494749186236,0.4476760149274367,0.3332174503532866,0.31206583875649774,0.1585956056768383,0.5148304447573824,0.9983444491922164,0.5612240964793517,0.28872080919941395,0.13797725783286774
115,0.5753327663319715,0.7500149886925283,0.7935212191448181,0.22672964681643132,0.38305010210085966,0.5826745820251732,0.872690406943186,0.5036074234468763,0.3999046749652402,0.09616734243127527,0.12152016237728938,0.9657970145076985
137,0.6872083827095331,0.9330195866801182,0.7362785387235143,0.45309784921942875,0.18266689422840268,0.2062227145500108,0.8374817210076365,0.9883098371465902,0.670865905305653,0.15309518702933536,0.5957763544966275,0.15607379798650636
151,0.7582874145612366,0.7650527633070807,0.48890830126336493,0.5927097434611545,0.5251394668984021,0.4699664291189919,0.0735246842053249,0.9658940795688887,0.809521341555956,0.2053585193668341,0.5108272128156286,0.619284741708338
156,0.7817703579185391,0.5213750721592108,0.944473689482719,0.25909623554311834,0.12845509876691322,0.46359156147369673,0.9612220450387253,0.8750334110181546,0.8815844267931874,0.44983476773152714,0.7185120280899987,0.5359848637515603
177,0.8861937569842037,0.5823349737689614,0.32912852618771105,0.9250886408804118,0.26524592645024453,0.28036429444848565,0.2958667538303832,0.9973420798948036,0.028497747138069622,0.6217414585994917,0.5692432576838954,0.9369159366557008
184,0.9207351538205032,0.9665058882487286,0.10842172937207148,0.6230444725312925,0.2927965925301944,0.20353296293282505,0.8828927873119817,0.036144065964032794,0.6196214828668914,0.7936171258962815,0.9176048698819382,0.36661887640536883
