,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
297,0.7893776109278555,0.5763420547663376,0.12593879369260175,0.5103397321485199,0.5247097418700569,0.24052670454360486,0.046615857416514396,0.47903676127726913
315,0.8610306203441291,0.8425162613016647,0.22447400781017737,0.26507273725038927,0.868473408545979,0.8300886762290787,0.18478605665742032,0.593165954195038
270,0.8494595506963649,0.534568040962216,0.09441343088738109,0.5311960608814383,0.9815912275578825,0.6540101097134138,0.3433693912784978,0.8916331659084292
36,0.8713900447556902,0.4453402218328713,0.10825748809548356,0.5422732622318165,0.8930822717185427,0.6113972744500022,0.15842776092575564,0.317837100898373
243,0.738681356167822,0.8079763458081111,0.0787547341976345,0.37646369114414746,0.6324924250600479,0.401713243049683,0.04662786068677675,0.5659944673930755
100,0.9007310933417819,0.6480688152606667,0.010266122877757142,0.41687031277637787,0.7319055697731249,0.7311404550306996,0.20382190912431944,0.6998604246834254
91,0.7304177737363462,0.16617830242033985,0.11790052742342956,0.7390327325161795,0.9508332428566247,0.5407492488107869,0.24191536470404118,0.9788650930957353
293,0.5997098481845065,0.814633811311498,0.022923828235572753,0.5023883365393814,0.818595670112899,0.438731207837299,0.14697760896174672,0.8008339590707972
15,0.857230130349192,0.6610413814324335,0.14867889425936803,0.507835180593272,0.9223839800678626,0.9305296271638196,0.08167027149869116,0.3539453170796748
79,0.9453737180421197,0.5654351550384045,0.15437387633870606,0.452946865828349,0.8568161781230834,0.9293197394304132,0.24215460837968922,0.7094094318489172
84,0.7688542582956522,0.6271443990322549,0.05981142718084004,0.5356304804172752,0.6773597799808697,0.6023149882690918,0.06150864651888854,0.23739746375953893
238,0.6041556254652599,0.24152022635603132,0.06289629716561229,0.7840730728781985,0.5548624451372433,0.6531204693707134,0.04666599323849233,0.8284231873005141
172,0.9380191573258437,0.5004704427047201,0.2992339413138421,0.41375463316357336,0.9054274734484495,0.24820343171775078,0.006443197310292453,0.5942763902311096
141,0.8204806604302761,0.47920055745857476,0.19273871595948366,0.5689829389215937,0.6010041358494177,0.7734073083747088,0.13262708911986237,0.9917433344100071
173,0.7323830577496304,0.7630602684241069,0.00883374783596134,0.43156249018652604,0.9035783403565038,0.3056234324730985,0.2661714556885653,0.7146533160427894
215,0.8990139926581586,0.21551921341668273,0.23384482261683393,0.566854452649081,0.8751685692928047,0.5289367775978088,0.055299388080470406,0.5318144601709736
272,0.776666519782988,0.5465647547118925,0.019583794359982854,0.5117305694137906,0.6259300948213953,0.42095972660474157,0.21078925379486657,0.410524430475287
246,0.6544024965292121,0.561385917329479,0.0915210330789216,0.6544244522337584,0.8028570875354456,0.037574440751992476,0.007785378243887779,0.9586951357735505
118,0.6308188646307675,0.6642190100306943,0.021392864236784104,0.5814037669292914,0.5551622653469855,0.8959726517231101,0.02420470072247491,0.9630947476320812
264,0.995893507901703,0.33914565711613504,0.3924935468920022,0.3526553909771498,0.954999693118236,0.3869524252719566,0.03492210862278613,0.7040812315529131
69,0.8665186138087645,0.6949404606634868,0.0015088909217688795,0.46268909499194216,0.8176265058561127,0.5840297488320452,0.16549979738512857,0.8991086717869142
186,0.9173746442574932,0.002368733949939246,0.05316079115824909,0.5729072624100965,0.720969935623337,0.8641992350229272,0.20866618923359687,0.5241045925676198
242,0.8025249506510509,0.19196326310830086,0.19627450085539913,0.6920352883567208,0.5753139252004913,0.918294268880904,0.09479275106327023,0.9516172278223614
115,0.9249053719859807,0.6128251811488391,0.15274763443671888,0.37219026782001446,0.5269731673703512,0.6831577489183754,0.1513015444633045,0.5592157942141941
22,0.7664143572500666,0.3916723522625771,0.01918756722570109,0.7119898680260297,0.8322607926684562,0.3682267601949089,0.013954609340089786,0.9263413756418719
151,0.7300438196192583,0.7485607139388807,0.11666643578440455,0.4769318032267431,0.7520730212371008,0.9310540515249037,0.23696509790386966,0.7169755258077697
287,0.8407486593146622,0.3604093540894113,0.2865224706084683,0.5292579441336576,0.8667435713296685,0.27984386945550493,0.07838377129604857,0.6691817409067502
198,0.8830053091693423,0.2786159249603604,0.2192011929180314,0.5365494111251695,0.5705733034284183,0.7286518696127146,0.005654965268564472,0.7079250630811879
76,0.9660930993441998,0.3963901921062389,0.04657997165995289,0.49684465870963185,0.9089084512014024,0.806219218834637,0.08679721139760996,0.10951987178271301
329,0.8452343094502051,0.26694588501926325,0.25101165404522907,0.5585112491522085,0.9511854485048226,0.11365539702112443,0.008339764829571748,0.8094225274822204
89,0.9567096083082319,0.4940068153437221,0.04364541313511939,0.3929808214937059,0.670414614238941,0.2468397775190449,0.16997149907658818,0.5051813343573518
24,0.7895877305506954,0.7009242050772589,0.0029994015415272437,0.5038655338563983,0.8907274964532834,0.3449941398256252,0.14466946308653958,0.39468892211655476
302,0.8616678188809429,0.35810543000630346,0.11841245991124902,0.4819642343393857,0.8279949017926798,0.1883148974635704,0.23615741329293577,0.18817034779754335
74,0.9819834129226033,0.009267950679497332,0.08632875046263207,0.42488331637917026,0.37187860077696955,0.7590164625307533,0.005679911244356505,0.7134146656220736
274,0.8009571200206795,0.4757353134614909,0.09732693127830472,0.5456403439004096,0.8272750238834908,0.1427897338528726,0.21239533989471307,0.8028304708596246
101,0.9025782799617943,0.22512331539078478,0.1025428602697979,0.5901719197495967,0.7174452162670286,0.9534631528935347,0.2486289210696328,0.918901467192978
231,0.8449186667117374,0.551137005767127,0.0717675854922471,0.5138154699790894,0.6621049358773838,0.9246636264862467,0.14658484192472024,0.5440501865546021
298,0.5700262068769391,0.05399645315716819,0.050959318334737075,0.8121237345765848,0.7533150817702067,0.45714439661123457,0.19629698936202075,0.9646284086473393
111,0.7266547183157959,0.7870593578924293,0.015479182547351696,0.5042390724757987,0.6895817234137523,0.17294049425879812,0.0750473983161251,0.996911697342275
308,0.913923098686245,0.7031213928652081,0.1570233262663378,0.44009963505799354,0.8056333115883445,0.9770883667503084,0.0494230034756123,0.010657734810454957
146,0.8886706702662742,0.753832773420196,0.05627353977674438,0.2903553938809669,0.7213423896869386,0.3324487560696349,0.21037461369989288,0.7756494214028473
193,0.8787290766883266,0.022295614459061797,0.0906364989852648,0.5299633783947374,0.9248255958721842,0.06756774065617946,0.06390260230492656,0.03467969836171303
153,0.8502120122309722,0.6054223560210064,0.13314792493650984,0.44606389435907395,0.5955505696869307,0.10847883276124362,0.1462306972966284,0.8274947522887169
197,0.7178679230744175,0.8322883334556368,0.017696777259520385,0.36831112859932835,0.7047415649062347,0.7068199617386955,0.1102813882586306,0.23645948826548926
339,0.9322802152507028,0.0743874922755445,0.17835462547386652,0.4662115456220611,0.5561826879981852,0.5816868912590447,0.02565654391121038,0.7133720029473687
269,0.770874769073995,0.6369000856114719,0.017946834469033966,0.46468023851043694,0.9024997727169933,0.5434646121568086,0.2682429537587121,0.14189954936462962
343,0.7915241742563202,0.5597611047178072,0.010688934670690316,0.509331981318251,0.8622767963934101,0.8636952446452967,0.2110605805659202,0.02592424196560612
256,0.7445246114858415,0.6381846494008714,0.024484894309842856,0.4777050987022644,0.4727550522047377,0.6634731331541922,0.168005400647843,0.6301858658245979
237,0.838650463562961,0.4488512091133548,0.21226843691092817,0.5097287455634488,0.8185393331616186,0.8300230515711751,0.1782690096795101,0.22451724605249057
278,0.8755896651103983,0.18123534241348527,0.30592776933426985,0.5865197173087429,0.9021439597890867,0.8017638469702137,0.014675108923263867,0.8691835091640328
300,0.7004512944612102,0.8475837226490569,0.016478467269799513,0.35276434076050756,0.4881541447420044,0.705738930205071,0.023888940589947904,0.5094601510046408
138,0.7998786666335075,0.9796915567057872,0.03279879176129419,0.1856942712662418,0.9908717196722574,0.8670227807853518,0.06930212154806839,0.6207066373357856
321,0.9744288788955392,0.03961346837711282,0.41155697930402396,0.5293909922401618,0.966870254264905,0.8274992523729954,0.04231707778457847,0.9947726978212638
227,0.8332270574772934,0.7320829995929147,0.23892463960856397,0.36316987721670785,0.949772662888149,0.2185526434854718,0.10432472389421359,0.23866476786146767
10,0.8190870864781697,0.7310915950194721,0.15109300072170453,0.44468334168833584,0.5601195666629523,0.8615464436051818,0.049284743229393906,0.7833325210984964
164,0.9318023774519606,0.331215437310521,0.1564207346269205,0.4461346397123702,0.7246526371429562,0.18688361238964613,0.14613684296083737,0.42681705080995913
310,0.6487274817779286,0.8523742461083661,0.015870533533943836,0.39857738461121855,0.9723608136122199,0.6125307254594103,0.014636899911206026,0.03661299870913648
190,0.8111018624358031,0.264881950844434,0.12628764279177127,0.6135761287862008,0.8322036690316323,0.7493486734641283,0.10905135885330365,0.13999028164836594
134,0.7722571758005354,0.9173102739706714,0.011912020671719472,0.40651207148520446,0.9602863620981084,0.1431733682981226,0.07965777810626087,0.6696633769878789
117,0.8866445816569672,0.6898153978919545,0.06831195326925556,0.4038144402460655,0.8399494681414634,0.020194712556177413,0.18579791424040012,0.493166703127189
236,0.9861283150840914,0.48167034579310725,0.32495125638087896,0.2881595066236767,0.781834265021146,0.5193036616030214,0.03340565532129304,0.5357476205951156
333,0.5829625498343988,0.7256470979478913,0.03954657249155809,0.545860297135236,0.5690142305783384,0.376764127380414,0.0013245943783022026,0.9879822046735983
26,0.9941987327367597,0.5818995669548813,0.3082137073318602,0.3298919221755669,0.8256221633302901,0.8406017388436671,0.11844091791692418,0.8614133844254335
179,0.8515423061390843,0.7871651349915575,0.04460203481345955,0.4069640584259054,0.9409980491706156,0.24046564201470685,0.1429022527278948,0.9499501499169555
72,0.8991962865238684,0.672465843177614,0.20074441418533304,0.3833879756042643,0.7826419556407472,0.40335577095347236,0.02818805026101547,0.6072506661751306
25,0.8538346279527852,0.9012849030036854,0.0993101913993387,0.27632264694986614,0.9810844663875421,0.9813999168160518,0.26607012757031456,0.9950965218156929
221,0.840853733518628,0.42721605991637696,0.04226593674706024,0.6570199734478889,0.6841356750203883,0.8341289848196425,0.13067691472285234,0.8471281203875514
119,0.7928040097366525,0.5329728443836526,0.2627206473993953,0.5731178143140013,0.9061584530967545,0.8421090541424485,0.050048633003085645,0.7686402758124601
157,0.862169939553275,0.03361339835113121,0.09196114270810785,0.6329961224899191,0.9100906884679365,0.7253862292833944,0.22512822486087902,0.5644285388581511
174,0.7653419103412974,0.26154895695977387,0.11211817473223186,0.6820114277570692,0.7156535134830806,0.8140139433645691,0.05023014206308717,0.6301706903469946
143,0.49929400837052323,0.36872187684045776,0.00303832446141052,0.7731487389239885,0.764848371770474,0.6979957752550502,0.027144587667699338,0.6990612763482483
265,0.7453652111661966,0.9026918823904947,0.03496124032956848,0.296258074388966,0.553967677591296,0.9448673796287564,0.03709025849601032,0.6060293420092647
105,0.7773954741754876,0.5316371220073574,0.12183555570572094,0.6003185657339288,0.5602221780623013,0.9105008602932806,0.007522933654780089,0.8236123187784674
55,0.9337774255714926,0.6500987669202762,0.28706678220090664,0.3442799065454469,0.9038045461521896,0.6240620452328195,0.10061739520750128,0.6073642709726099
61,0.9233822350639046,0.002406160523537216,0.031209435257837974,0.47514736265612934,0.9643096490095555,0.10961024981454884,0.027360006476702,0.40895095520333113
344,0.549952913961834,0.6588971390441626,0.1984178122799202,0.6334322319419978,0.985279975531761,0.7918164938563003,0.07147998262285392,0.8134392793788355
299,0.5293242649808579,0.21223028350252404,0.05169658685277013,0.8030286145188437,0.8829577392946308,0.15182680232563026,0.11239861889715275,0.8130022452354075
328,0.7377241893431709,0.7282611876625008,0.10170711309555028,0.4331686137532803,0.6089916370698963,0.8232416327307799,0.2095684711486825,0.9483741916314774
282,0.9340237243382521,0.38317227979232177,0.10968923639788251,0.436130554782315,0.5756778850889696,0.3667180839223141,0.07913914526884787,0.06236747757373865
168,0.7141171394145062,0.7741995861244588,0.12436180153629102,0.5317232454727537,0.889655172692024,0.6434612997758618,0.09757007791346559,0.6649851412678591
303,0.8302930641573639,0.6565204751194655,0.1729353041602613,0.4158301389061871,0.5719496472133775,0.5270113815783762,0.08055432999745923,0.07205246227610528
316,0.8804788902226443,0.5949148003075861,0.05097751522213489,0.542820268127094,0.8990200402582448,0.5795472657879064,0.0841029397478889,0.07073941259418723
121,0.856737288786938,0.7374786310065653,0.12489466562757721,0.3497686791740586,0.46962679917883804,0.310897517963136,0.010774976945206335,0.9866407089437168
7,0.6152022266116721,0.9749995890774459,0.052295985671840316,0.3248161019830204,0.9893543138416551,0.9490633296264066,0.062336107220497844,0.9771491060783007
284,0.7476628089836673,0.6707280699134807,0.18507479920300307,0.46562349773003664,0.7428818069972297,0.040456195269434364,0.06758432662017905,0.5720927820455604
86,0.8887743653047153,0.43909158551009786,0.08024463495764292,0.4798510607917895,0.9810567127522044,0.2917940395878267,0.1918897818008915,0.013849084040937217
307,0.8071960886399582,0.10609921969315797,0.17671992470153958,0.6326601913259925,0.9102117578589067,0.39596808900231506,0.19728027824413302,0.5978470256845902
240,0.7108994622473322,0.31258475484207476,0.13784965261791873,0.6944406675345572,0.558461174590538,0.9953174246447118,0.005253701380916242,0.6871372439876369
252,0.7514918178569934,0.8765633564861238,0.06807523551486092,0.3244584652795275,0.8605457265259168,0.9025327402520699,0.12440002160194746,0.39249968160358517
241,0.8570525531293588,0.7349466668962265,0.11601600030550825,0.43426721526914075,0.9979347489821295,0.6783936284869332,0.003931638140616062,0.3348221443117941
112,0.9793449954509058,0.5776042572323071,0.2466145647238552,0.2792458762453834,0.5351632114078488,0.8288330097189096,0.089294664266414,0.9992825169454388
181,0.9543412614729281,0.7857318420979172,0.024324368287479442,0.33804607600494485,0.9775420087000405,0.7239074059093957,0.03624668515881452,0.5028065074139455
262,0.988909929038456,0.3868861177116753,0.1986736929709466,0.3095812796081814,0.3681851810989341,0.9432498809056569,0.14110531249987,0.6086101962881473
