paper,ff_model,molecule,property,temperature_K,value,unit,source_figure,method,qc_status
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,281.09589,746.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,290.9589,736.21,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,299.72603,724.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,309.58904,713.79,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,320.54795,703.45,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,329.31507,693.1,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,340.27397,679.31,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,350.13699,668.97,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,361.09589,655.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,370.9589,641.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,379.72603,627.59,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,390.68493,612.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,400.54795,596.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,410.41096,579.31,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,420.27397,556.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,431.23288,534.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,440,508.62,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_l,450.9589,479.31,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,449.86301,51.72,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,441.09589,43.1,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,430.13699,34.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,420.27397,25.86,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,411.50685,22.41,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,401.64384,17.24,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,390.68493,13.79,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,380.82192,10.34,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,370.9589,6.9,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,361.09589,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,351.23288,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,340.27397,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,330.41096,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,320.54795,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,310.68493,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,300.82192,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,289.86301,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,H1,MeOH,rho_v,280,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,281.09589,806.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,290.9589,796.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,300.82192,787.93,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,309.58904,775.86,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,330.41096,755.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,321.64384,767.24,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,341.36986,744.83,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,350.13699,734.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,360,720.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,370.9589,708.62,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,379.72603,698.28,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,390.68493,684.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,400.54795,670.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,410.41096,655.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,420.27397,641.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,431.23288,622.41,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,441.09589,605.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,469.58904,539.66,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,460.82192,563.79,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_l,450.9589,584.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,469.58904,56.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,459.72603,44.83,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,449.86301,37.93,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,440,27.59,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,431.23288,20.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,421.36986,15.52,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,411.50685,12.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,400.54795,8.62,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,390.68493,5.17,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,280,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,289.86301,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,299.72603,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,310.68493,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,320.54795,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,330.41096,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,340.27397,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,350.13699,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,360,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,369.86301,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L1,MeOH,rho_v,380.82192,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,280,806.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,289.86301,796.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,311.78082,777.59,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,320.54795,767.24,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,330.41096,756.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,340.27397,746.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,351.23288,736.21,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,361.09589,724.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,370.9589,713.79,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,380.82192,701.72,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,390.68493,689.66,kg/m3,Fig2,manual_digitization,OK
