paper_tag,molecule,ff_model,property,temperature,temp_unit,value,value_unit,is_figure_only,table_or_page,notes
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,325.00,K,0.000092,MPa,False,Table 2 p7431,uncertainty (5) in last digit
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,325.00,K,17.45,mol/L,False,Table 2 p7431,uncertainty (1) in last digit
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,325.00,K,0.000023,mol/L,False,Table 2 p7431,uncertainty (1) in last digit
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,325.00,K,70.24,kJ/mol,False,Table 2 p7431,uncertainty (7) in last digit
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,350.00,K,0.00051,MPa,False,Table 2 p7431,uncertainty (1)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,350.00,K,17.18,mol/L,False,Table 2 p7431,uncertainty (1)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,350.00,K,0.000111,mol/L,False,Table 2 p7431,uncertainty (3)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,350.00,K,69.71,kJ/mol,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,400.00,K,0.00722,MPa,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,400.00,K,16.626,mol/L,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,400.00,K,0.00220,mol/L,False,Table 2 p7431,uncertainty (2)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,400.00,K,66.01,kJ/mol,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,450.00,K,0.0514,MPa,False,Table 2 p7431,uncertainty (4)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,450.00,K,15.973,mol/L,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,450.00,K,0.0223,mol/L,False,Table 2 p7431,uncertainty (2)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,450.00,K,61.17,kJ/mol,False,Table 2 p7431,uncertainty (4)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,500.00,K,0.2245,MPa,False,Table 2 p7431,uncertainty (9)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,500.00,K,15.218,mol/L,False,Table 2 p7431,uncertainty (6)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,500.00,K,0.0458,mol/L,False,Table 2 p7431,uncertainty (2)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,500.00,K,56.22,kJ/mol,False,Table 2 p7431,uncertainty (3)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,550.00,K,0.725,MPa,False,Table 2 p7431,uncertainty (1)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,550.00,K,14.368,mol/L,False,Table 2 p7431,uncertainty (8)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,550.00,K,0.1841,mol/L,False,Table 2 p7431,uncertainty (3)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,550.00,K,50.09,kJ/mol,False,Table 2 p7431,uncertainty (3)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,600.00,K,1.78,MPa,False,Table 2 p7431,uncertainty (1)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,600.00,K,13.32,mol/L,False,Table 2 p7431,uncertainty (1)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,600.00,K,0.423,mol/L,False,Table 2 p7431,uncertainty (2)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,600.00,K,43.44,kJ/mol,False,Table 2 p7431,uncertainty (4)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Pvap,650.00,K,3.73,MPa,False,Table 2 p7431,uncertainty (2)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_l,650.00,K,12.03,mol/L,False,Table 2 p7431,uncertainty (3)
huang,ethylene glycol,present model (Huang/Vrabec 2012),rho_v,650.00,K,0.928,mol/L,False,Table 2 p7431,uncertainty (5)
huang,ethylene glycol,present model (Huang/Vrabec 2012),Hvap,650.00,K,35.31,kJ/mol,False,Table 2 p7431,uncertainty (6)
