molecule,property,temperature_K,value,unit,source_per_Table3
MeOH,liq_density,200.0,880.28,kg/m3,REFPROP
MeOH,liq_density,250.0,831.52,kg/m3,REFPROP
MeOH,liq_density,300.0,784.51,kg/m3,REFPROP
MeOH,liq_density,350.0,735.84,kg/m3,REFPROP
MeOH,liq_density,400.0,678.59,kg/m3,REFPROP
MeOH,liq_density,450.0,600.49,kg/m3,REFPROP
MeOH,liq_density,500.0,451.53,kg/m3,REFPROP
MeOH,vap_density,200.0,0.00011754,kg/m3,REFPROP
MeOH,vap_density,250.0,0.012577,kg/m3,REFPROP
MeOH,vap_density,300.0,0.24623,kg/m3,REFPROP
MeOH,vap_density,350.0,1.9053,kg/m3,REFPROP
MeOH,vap_density,400.0,8.7343,kg/m3,REFPROP
MeOH,vap_density,450.0,30.831,kg/m3,REFPROP
MeOH,vap_density,500.0,109.88,kg/m3,REFPROP
MeOH,Pvap,200.0,6.0958e-05,bar,REFPROP
MeOH,Pvap,250.0,0.008103,bar,REFPROP
MeOH,Pvap,300.0,0.18681999999999999,bar,REFPROP
MeOH,Pvap,350.0,1.6172,bar,REFPROP
MeOH,Pvap,400.0,7.7374,bar,REFPROP
MeOH,Pvap,450.0,25.433000000000003,bar,REFPROP
MeOH,Pvap,500.0,65.25,bar,REFPROP
MeOH,Hvap,200.0,1289.99,kJ/kg,REFPROP
MeOH,Hvap,250.0,1234.79,kJ/kg,REFPROP
MeOH,Hvap,300.0,1166.17,kJ/kg,REFPROP
MeOH,Hvap,350.0,1075.936,kJ/kg,REFPROP
MeOH,Hvap,400.0,944.57,kJ/kg,REFPROP
MeOH,Hvap,450.0,739.19,kJ/kg,REFPROP
MeOH,Hvap,500.0,392.06,kJ/kg,REFPROP
MeOH,surf_tens,200.0,31.717,mN/m,REFPROP
MeOH,surf_tens,250.0,26.347,mN/m,REFPROP
MeOH,surf_tens,300.0,21.993,mN/m,REFPROP
MeOH,surf_tens,350.0,17.727,mN/m,REFPROP
MeOH,surf_tens,400.0,12.928,mN/m,REFPROP
MeOH,surf_tens,450.0,7.3155,mN/m,REFPROP
MeOH,surf_tens,500.0,1.2466,mN/m,REFPROP
MeOH,Tc,,512.5,K,see Table 3
MeOH,rhoc,,273.846,kg/m3,see Table 3
EG,liq_density,378.15,1051.7,kg/m3,REFPROP
EG,liq_density,383.15,1047.9,kg/m3,REFPROP
EG,liq_density,393.15,1040.2,kg/m3,REFPROP
EG,liq_density,403.15,1032.3,kg/m3,REFPROP
EG,liq_density,413.15,1024.3,kg/m3,REFPROP
EG,liq_density,450.0,993.42,kg/m3,REFPROP
EG,liq_density,500.0,947.11,kg/m3,REFPROP
EG,liq_density,550.0,893.68,kg/m3,REFPROP
EG,liq_density,600.0,829.28,kg/m3,REFPROP
EG,liq_density,650.0,745.05,kg/m3,REFPROP
EG,liq_density,700.0,602.22,kg/m3,REFPROP
EG,vap_density,378.15,0.053545,kg/m3,REFPROP
EG,vap_density,383.15,0.067953,kg/m3,REFPROP
EG,vap_density,393.15,0.10702,kg/m3,REFPROP
EG,vap_density,403.15,0.16393,kg/m3,REFPROP
EG,vap_density,413.15,0.24479,kg/m3,REFPROP
EG,vap_density,450.0,0.88837,kg/m3,REFPROP
EG,vap_density,500.0,3.5446,kg/m3,REFPROP
EG,vap_density,550.0,10.606,kg/m3,REFPROP
EG,vap_density,600.0,26.462,kg/m3,REFPROP
EG,vap_density,650.0,60.398,kg/m3,REFPROP
EG,vap_density,700.0,150.11,kg/m3,REFPROP
EG,Pvap,378.15,0.027108,bar,REFPROP
EG,Pvap,383.15,0.034853,bar,REFPROP
EG,Pvap,393.15,0.056304,bar,REFPROP
EG,Pvap,403.15,0.08839600000000002,bar,REFPROP
EG,Pvap,413.15,0.13518000000000002,bar,REFPROP
EG,Pvap,450.0,0.53184,bar,REFPROP
EG,Pvap,500.0,2.3208,bar,REFPROP
EG,Pvap,550.0,7.3787,bar,REFPROP
EG,Pvap,600.0,18.81,bar,REFPROP
EG,Pvap,650.0,41.118,bar,REFPROP
