old_path,new_path,citation,doi,is_SI
1-s2.0-S0021961408000499-main.pdf,kozlova_2008_jct.pdf,"Kozlova, S.A.; Emel'yanenko, V.N.; Georgieva, M.; Verevkin, S.P.; Chernyak, Y.; Schaffner, B.; Borner, A. (2008). Vapour pressure and enthalpy of vaporization of aliphatic dialkyl carbonates. J. Chem. Thermodyn..",10.1016/j.jct.2008.02.012,N
1-s2.0-S0021961417304032-main.pdf,ghaedi_2018_jct.pdf,"Ghaedi, Hosein; Ayoub, Muhammad; Sufian, Suriati; Shariff, Azmi Mohd; Lal, Bhajan; Wilfred, Cecilia Devi (2018). Density and refractive index measurements of transition-temperature mixture (deep eutectic analogues) based on potassium carbonate with dual hydrogen bond donors for CO2 capture. J. Chem. Thermodyn..",10.1016/j.jct.2017.11.008,N
1-s2.0-S0021961418300740-main.pdf,erfani_2019_jct.pdf,"Erfani, Amir; Khosharay, Shahin; Aichele, Clint P. (2019). Surface tension and interfacial compositions of binary glycerol/alcohol mixtures. J. Chem. Thermodyn..",10.1016/j.jct.2019.03.014,N
1-s2.0-S0167732216326204-main.pdf,harifimood_2017_jml.pdf,"Harifi-Mood, Ali Reza; Buchner, Richard (2017). Density, viscosity, and conductivity of choline chloride + ethylene glycol as a deep eutectic solvent and its binary mixtures with dimethyl sulfoxide. J. Mol. Liq..",10.1016/j.molliq.2016.10.115,N
1-s2.0-S0167732218350803-main.pdf,alam_2019_jml.pdf,"Alam, Md Sayem; Ashokkumar, Baskar; Siddiq, A. Mohammed (2019). The density, dynamic viscosity and kinematic viscosity of protic and aprotic polar solvent (pure and mixed) systems: An experimental and theoretical insight of thermophysical properties. J. Mol. Liq..",10.1016/j.molliq.2019.02.097,N
1-s2.0-S0378381210001858-main.pdf,zhao_2010_fpe.pdf,"Zhao, G.; Bi, S.; Li, X.; Wu, J. (2010). Surface tension of diethyl carbonate, 1,2-dimethoxyethane and diethyl adipate. Fluid Phase Equilib..",10.1016/j.fluid.2010.03.040,N
1-s2.0-S0378381215001764-main.pdf,verevkin_2015_fpe.pdf,"Verevkin, Sergey P.; Zaitsau, Dzmitry H.; Emel'yanenko, Vladimir N.; Zhabina, Anna A. (2015). Thermodynamic properties of glycerol: Experimental and theoretical study. Fluid Phase Equilib..",10.1016/j.fluid.2015.03.038,N
1-s2.0-S0378381218302322-main.pdf,nikitin_2018_fpe.pdf,"Nikitin, Eugene D.; Popov, Alexander P. (2018). Critical temperatures and pressures of caprolactam, dimethyl sulfoxide, 1,4-dimethylpiperazine, and 2,6-dimethylpiperazine. Fluid Phase Equilib..",10.1016/j.fluid.2018.05.029,N
2002-critical-densities-and-related-properties-of-liquids.pdf,benson_1948_jpcc.pdf,"Benson, Sidney W. (1948). Critical Densities and Related Properties of Liquids. J. Phys. Colloid Chem..",NOT FOUND ON PDF (pre-DOI era; retroactive ACS DOI 10.1021/j150462a016 per checklist not printed in scan),N
2002-optimized-intermolecular-potential-functions-for-liquid-alcohols.pdf,jorgensen_1986_jpc.pdf,"Jorgensen, William L. (1986). Optimized Intermolecular Potential Functions for Liquid Alcohols. J. Phys. Chem..",NOT FOUND ON PDF (pre-DOI era; commonly cited retroactive DOI 10.1021/j100392a030 not visible in text),N
Borin-Skaf-DMSO.pdf,borin_1999_jcp.pdf,"Borin, Ivana A.; Skaf, Munir S. (1999). Molecular association between water and dimethyl sulfoxide in solution: A molecular dynamics simulation study. J. Chem. Phys..",10.1063/1.478544,N
Caleman-SI.pdf,caleman_2012_jctc_SI.pdf,"Caleman, Carl; van Maaren, Paul J.; Hong, Minyan; Hub, Jochen S.; Costa, Luciano T.; van der Spoel, David (2012). Force Field Benchmark of Organic Liquids: Density, Enthalpy of Vaporization, Heat Capacities, Surface Tension, Isothermal Compressibility, Volumetric Expansion Coefficient, and Dielectric Constant (Supporting Information). J. Chem. Theory Comput..",NOT FOUND ON PDF (parent-article DOI 10.1021/ct200731v known from main text; not printed on SI itself),Y
Gonzalaz-Vega-MEOH-JCP2016.pdf,gonzalezsalgado_2016_jcp.pdf,"Gonzalez-Salgado, D.; Vega, C. (2016). A new intermolecular potential for simulations of methanol: The OPLS/2016 model. J. Chem. Phys..",10.1063/1.4958320,N
Luzar-DMSO.pdf,luzar_1993_jcp.pdf,"Luzar, Alenka; Soper, A.K.; Chandler, David (1993). Combined neutron diffraction and computer simulation study of liquid dimethyl sulphoxide. J. Chem. Phys..",10.1063/1.465828,N
Senapati-DMSO.pdf,senapati_2002_jcp.pdf,"Senapati, Sanjib (2002). A molecular dynamics simulation study of the dimethyl sulfoxide liquid-vapor interface. J. Chem. Phys..",10.1063/1.1489898,N
