molecule,ff,property,mapd,mae,mse,mpd,n_points_used,source_file
MeOH,GP-Optimized,rho_l,3.1496735379586576,17.63857669822695,789.0193736805895,3.1496735379586576,7,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,rho_v,42.66034099309598,1.0092958555241756,2.93462569361035,-42.66034099309598,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,Pvap,46.579660246099024,1.1924064883200989,4.057445853506034,-46.579660246099,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,Hvap,8.3873880897018,97.76154449616728,13535.14591689849,8.372066616059634,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,gamma,18.4566848303393,1.6416937500000015,3.2435617121412554,18.4566848303393,7,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,Tc,7.573726405402873,38.81534782768972,1506.631226984537,7.573726405402873,1,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,GP-Optimized,rho_c,0.4808655261571219,1.3168310087602322,1.7340439056324908,0.4808655261571219,1,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_opt/error_data.csv
MeOH,Base,rho_l,5.29769889601969,27.8480548901626,2133.4202010965128,5.29769889601969,7,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_no_opt/error_data.csv
MeOH,Base,rho_v,60.59371626217528,2.640022997574773,19.287183523444227,-60.59371626217527,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_no_opt/error_data.csv
MeOH,Base,Pvap,66.619816303439,3.0140895528403786,27.05106524069081,-66.619816303439,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_no_opt/error_data.csv
MeOH,Base,Hvap,14.111702121314778,166.09633821397034,41957.38580027624,13.13984523022594,6,Opt_ES/analysis/at_00/MeOH/ExpVal/opt_res/ms_val_no_opt/error_data.csv
