molecule,ff,property,method,mapd,mae,mse,mpd,n_points,notes
MeOH,GP-Optimized,rho_l,raw_replicates,3.1496735379586576,17.63857669822695,789.0193736805895,3.1496735379586576,20,n=20 raw replicate rows (of 21 total rows in ms_data.csv)
MeOH,GP-Optimized,rho_l,per_T_mean,3.8614438546208607,20.689725791324058,1069.24620524319,3.8614438546208603,7,n=7 temperature points (of 7 in student_ff_values.csv)
MeOH,GP-Optimized,rho_v,raw_replicates,42.66034099309601,1.0092958555241753,2.9346256936103483,-42.660340993096,18,n=18 raw replicate rows (of 21 total rows in ms_data.csv)
MeOH,GP-Optimized,rho_v,per_T_mean,42.66034099309601,1.009295855524176,2.6638622647275034,-42.66034099309601,6,n=6 temperature points (of 7 in student_ff_values.csv)
MeOH,GP-Optimized,Pvap,raw_replicates,46.57966024609908,1.1924064883200989,4.057445853506034,-46.57966024609908,18,n=18 raw replicate rows (of 21 total rows in ms_data.csv)
MeOH,GP-Optimized,Pvap,per_T_mean,46.579660246099166,1.192406488320099,3.8769419215548298,-46.579660246099166,6,n=6 temperature points (of 7 in student_ff_values.csv)
MeOH,GP-Optimized,gamma,raw_replicates,18.4566848303393,1.641693750000001,3.2435617121412528,18.456684830339295,20,n=20 raw replicate rows (of 21 total rows in ms_data.csv)
MeOH,GP-Optimized,gamma,per_T_mean,22.00942052630849,1.6187625000000005,2.943176660161213,22.009420526308492,7,n=7 temperature points (of 7 in student_ff_values.csv)
MeOH,GP-Optimized,Tc,single_value,7.573726405402873,38.81534782768972,1506.631226984537,7.573726405402873,1,single fitted critical-point value
MeOH,GP-Optimized,rho_c,single_value,0.48086552615712197,1.3168310087602322,1.7340439056324908,0.48086552615712197,1,single fitted critical-point value
MeOH,GP-Optimized,Hvap,direct_sim_grid_raw_replicates,8.3873880897018,97.76154449616729,13535.145916898486,8.372066616059634,18,n=18 raw rows where expt_Hvap dict key coincided with a simulated T
MeOH,GP-Optimized,Hvap,direct_sim_grid_per_T_mean,8.37206661605963,97.61682245258542,13246.384928516736,8.372066616059628,6,n=6 simulated temperatures with a coinciding expt_Hvap key
