molecule,property,table_total_exp_data,table_used_count,table_used_key,table_starred,bib_key_resolves,bib_title,esolvs_count,provenance_source_type,star_expected,flag
EG,rho_l,97,11,REFPROP,True,Y,,11,EOS-AUTH,True,OK
Gly,rho_l,84,5,Ghaedi2018DensityCapture,False,Y,Density and Refractive Index Measurements of Transition-Temperature Mixture (Deep Eutectic,5,"SECONDARY (primary alternatives now in hand, not yet substituted -- PI decision #1: do not replace)",False,OK
MeOH,rho_l,315,7,REFPROP,True,Y,,7,EOS-AUTH,True,OK
DMF,rho_l,33,5,Alam2019TheProperties,False,Y,"The Density, Dynamic Viscosity and Kinematic Viscosity of Protic and Aprotic Polar Solvent",5,PRIMARY,False,OK
DMSO,rho_l,68,5,Harifi-Mood2017,False,Y,"Density, Viscosity, and Conductivity of Choline Chloride + Ethylene Glycol as a Deep Eutec",5,"SECONDARY (primary alternative now in hand, not yet substituted -- PI decision #1: do not replace)",False,OK
DEC,rho_l,49,5,Zhao2010,False,Y,"Surface Tension of Diethyl Carbonate, 1,2-Dimethoxyethane and Diethyl Adipate",5,SECONDARY,False,OK
EG,Pvap,34,11,REFPROP,True,Y,,11,EOS-AUTH,True,OK
Gly,Pvap,175,5,Verevkin2015,True,Y,Thermodynamic Properties of Glycerol: Experimental and Theoretical Study,5,CORRELATION,True,OK
MeOH,Pvap,987,7,REFPROP,True,Y,,7,EOS-AUTH,True,OK
DMF,Pvap,83,5,Cui2006,True,Y,"Experimental Vapor Pressure Data and a Vapor Pressure Equation for N,N-Dimethylformamide",5,CORRELATION,True,OK
DMSO,Pvap,97,5,Jakli1972,True,Y,The Vapor Pressures of Dimethyl Sulfoxide and Hexadeuterodimethyl Sulfoxide from 313 to 45,5,CORRELATION,True,OK
DEC,Pvap,132,5,Kozlova2008,True,Y,Vapour Pressure and Enthalpy of Vaporization of Aliphatic Dialkyl Carbonates,5,CORRELATION,True,OK
EG,Hvap,19,11,REFPROP,True,Y,,11,EOS-AUTH,True,OK
Gly,Hvap,11,5,Verevkin2015,False,Y,Thermodynamic Properties of Glycerol: Experimental and Theoretical Study,1,PRIMARY,False,"COUNT MISMATCH: table says 5, esolvs.py has 1 temperature(s)"
MeOH,Hvap,83,11,REFPROP,True,Y,,7,EOS-AUTH,True,"COUNT MISMATCH: table says 11, esolvs.py has 7 temperature(s)"
DMF,Hvap,1,7,Rika2024,False,Y,"Thermodynamic Study of N-Methylformamide and N,N-Dimethyl-Formamide",1,PRIMARY,False,"COUNT MISMATCH: table says 7, esolvs.py has 1 temperature(s); INTERNAL INCONSISTENCY: 'Ref. Data in This Work' (7) exceeds 'Total Exp. Data' (1) for a non-starred (raw-data) cell"
DMSO,Hvap,11,5,Lemmon2023,False,Y,Thermophysical Properties of Fluid Systems,5,EOS-AUTH (judgment call -- see note),True,STAR FLAG MISSING (provenance_map source_type='EOS-AUTH (judgment call -- see note)')
DEC,Hvap,6,5,Kozlova2008,False,Y,Vapour Pressure and Enthalpy of Vaporization of Aliphatic Dialkyl Carbonates,8,PRIMARY,False,"COUNT MISMATCH: table says 5, esolvs.py has 8 temperature(s)"
EG,rho_v,0,11,REFPROP,True,Y,,11,EOS-AUTH,True,OK
Gly,rho_v,0,5,Peng1976AState,True,Y,A New Two-Constant Equation of State,5,EOS-AUTH,True,OK
MeOH,rho_v,75,7,REFPROP,True,Y,,7,EOS-AUTH,True,OK
DMF,rho_v,0,5,Peng1976AState,True,Y,A New Two-Constant Equation of State,5,EOS-AUTH,True,OK
DMSO,rho_v,0,5,Peng1976AState,True,Y,A New Two-Constant Equation of State,5,EOS-AUTH,True,OK
DEC,rho_v,31,5,Zhao2010,False,Y,"Surface Tension of Diethyl Carbonate, 1,2-Dimethoxyethane and Diethyl Adipate",5,SECONDARY,False,OK
EG,Tc,2,1,REFPROP,True,Y,,1,EOS-AUTH,True,OK
Gly,Tc,3,1,Nikitin1993MeasurementMethod,False,Y,Measurement of the Critical Properties of Thermally Unstable Substances and Mixtures by th,1,PRIMARY,False,OK
MeOH,Tc,5,1,REFPROP,True,Y,,1,EOS-AUTH,True,OK
DMF,Tc,2,1,Teja1990TheResults,False,Y,The Critical Properties of Thermally Stable and Unstable Fluids. I. 1985 Results,1,PRIMARY (source not yet obtained),False,OK
DMSO,Tc,3,1,Nikitin2018Critical26-Dimethylpiperazine,False,Y,"Critical Temperatures and Pressures of Caprolactam, Dimethyl Sulfoxide, 1,4-Dimethylpipera",1,PRIMARY,False,OK
DEC,Tc,3,1,Zhang2010ExperimentalKPa,False,Y,Experimental Isobaric Vapor-Liquid Equilibrium for Binary Systems of Ethyl Methyl Carbonat,1,"SECONDARY (chain leads to a data compilation, not a primary measurement)",False,OK
EG,rho_c,2,1,Tawfik1989TheGlycols,True,Y,The Densities of Polyethylene Glycols,1,CORRELATION,True,OK
Gly,rho_c,1,1,Peng1976AState,True,Y,A New Two-Constant Equation of State,1,EOS-AUTH,True,OK
MeOH,rho_c,4,1,Benson1948CriticalLiquids,False,Y,Critical Densities and Related Properties of Liquids,1,PRIMARY,False,OK
DMF,rho_c,2,1,Teja1990TheResults,False,Y,The Critical Properties of Thermally Stable and Unstable Fluids. I. 1985 Results,1,PRIMARY (source not yet obtained),False,OK
DMSO,rho_c,2,1,Campbell1979TheDensity,False,Y,The Density and Vapour Pressure of Dimethylsulfoxide at Various Temperatures and the (Hypo,1,PRIMARY (estimated/extrapolated value),False,OK
DEC,rho_c,2,1,Zhang2010ExperimentalKPa,False,Y,Experimental Isobaric Vapor-Liquid Equilibrium for Binary Systems of Ethyl Methyl Carbonat,1,"SECONDARY (chain leads to a data compilation, not a primary measurement)",False,OK
EG,gamma,11,11,REFPROP,True,Y,,11,EOS-AUTH,True,OK
Gly,gamma,12,5,Erfani2019,False,Y,Surface Tension and Interfacial Compositions of Binary Glycerol/Alcohol Mixtures,5,PRIMARY,False,OK
MeOH,gamma,40,7,REFPROP,True,Y,,7,EOS-AUTH,True,OK
DMF,gamma,21,5,Kahl2003,True,Y,Surface Tension of Pure Liquids and Binary Liquid Mixtures,5,CORRELATION,True,OK
DMSO,gamma,16,5,LawrenceClever1963,True,Y,Thermodynamics of Liquid Surfaces: The Surface Tension of Dimethyl Sulfoxide and Some Dime,5,CORRELATION,True,OK
DEC,gamma,31,5,Zhao2010,False,Y,"Surface Tension of Diethyl Carbonate, 1,2-Dimethoxyethane and Diethyl Adipate",5,PRIMARY,False,OK
