Molecule,T (K),rho_l (kg/m^3),rho_v (kg/m^3),Pvap (kPa)
EG,378.15,1051.7,0.053545,2.7108
EG,383.15,1047.9,0.067953,3.4853
EG,393.15,1040.2,0.10702,5.6304
EG,403.15,1032.3,0.16393,8.8396
EG,413.15,1024.3,0.24479,13.518000000000002
EG,450.0,993.42,0.88837,53.184
EG,500.0,947.11,3.5446,232.08
EG,550.0,893.68,10.606,737.87
EG,600.0,829.28,26.462,1880.9999999999998
EG,650.0,745.05,60.398,4111.8
EG,700.0,602.22,150.11,8155.7
Gly,293.15,1261.1,4.5465327758119773e-07,1.2033000000000002e-05
Gly,303.15,1255.6,1.482070334994983e-06,4.0563000000000004e-05
Gly,313.15,1249.5,4.428768205275064e-06,0.00012521000000000003
Gly,323.15,1242.9,1.2233164563920821e-05,0.0003569
Gly,333.15,1236.0,3.1469264570812374e-05,0.0009465200000000001
MeOH,200.0,880.28,0.00011754,0.0060958
MeOH,250.0,831.52,0.012577,0.8103000000000001
MeOH,300.0,784.51,0.24623,18.682
MeOH,350.0,735.84,1.9053,161.72
MeOH,400.0,678.59,8.7343,773.74
MeOH,450.0,600.49,30.831,2543.3
MeOH,500.0,451.53,109.88,6525.0
DMSO,313.15,1080.23,0.006604776165894635,0.220055
DMSO,318.15,1075.22,0.008896185829512238,0.301115
DMSO,323.15,1070.21,0.01185020871946568,0.407377
DMSO,328.15,1065.19,0.01562020026209556,0.54524
DMSO,333.15,1060.17,0.02038586480671281,0.722356
DEC,273.18,998.2,0.036,0.2845
DEC,293.16,975.7,0.057,1.1101
DEC,313.19,952.5,0.085,3.5244
DEC,333.18,929.1,0.121,9.4256
DEC,353.19,906.3,0.164,21.9621
DMF,308.15,941.56,0.028492606466029444,0.9980000000000001
DMF,313.15,936.76,0.03861002955353985,1.374
DMF,318.15,931.94,0.05118332578847178,1.8500000000000003
DMF,323.15,927.1,0.0665853077873307,2.4437
DMF,328.15,922.24,0.08523511463754384,3.1753000000000005
