molecule,ref_name,t_exp,est_Hvap,H_method,expt_Hvap,apd_Hvap,mapd_Hvap
DEC,Garcia-Melgarejo et. al.,294.15,,skipped,527.022,,24.16541676959757
DEC,Garcia-Melgarejo et. al.,298.15,396.0044019,direct,522.195,24.16541676959757,24.16541676959757
DEC,Garcia-Melgarejo et. al.,330.95,,skipped,494.054,,24.16541676959757
DEC,Garcia-Melgarejo et. al.,338.35,,skipped,481.809,,24.16541676959757
DEC,Garcia-Melgarejo et. al.,384.1,,skipped,451.584,,24.16541676959757
DEC,IFT FF,294.15,,skipped,527.022,,
DEC,IFT FF,298.15,,skipped,522.195,,
DEC,IFT FF,330.95,,skipped,494.054,,
DEC,IFT FF,338.35,,skipped,481.809,,
DEC,IFT FF,384.1,,skipped,451.584,,
DEC,Luo et. al.,294.15,,skipped,527.022,,
DEC,Luo et. al.,298.15,,skipped,522.195,,
DEC,Luo et. al.,330.95,,skipped,494.054,,
DEC,Luo et. al.,338.35,,skipped,481.809,,
DEC,Luo et. al.,384.1,,skipped,451.584,,
DMF,Caleman et. al.,298.15,46.08,direct,641.538,92.81726101961225,92.81726101961225
DMF,Chalaris & Samios,298.15,,skipped,641.538,,
DMF,IFT FF,298.15,,skipped,641.538,,
DMF,Vahid & Maginn,298.15,,skipped,641.538,,
DMSO,Borin & Skaf,308.0,,skipped,669.397,,
DMSO,Borin & Skaf,318.0,,skipped,666.837,,
DMSO,Borin & Skaf,320.0,,skipped,661.718,,
DMSO,Borin & Skaf,340.0,,skipped,647.639,,
DMSO,Borin & Skaf,368.0,,skipped,615.641,,
DMSO,IFT FF,308.0,,skipped,669.397,,17.865508891731274
DMSO,IFT FF,318.0,819.5889056422666,estimated,666.837,22.90693312492657,17.865508891731274
DMSO,IFT FF,320.0,576.8587234792288,estimated,661.718,12.82408465853598,17.865508891731274
DMSO,IFT FF,340.0,,skipped,647.639,,17.865508891731274
DMSO,IFT FF,368.0,,skipped,615.641,,17.865508891731274
DMSO,Senapati,308.0,,skipped,669.397,,
DMSO,Senapati,318.0,,skipped,666.837,,
DMSO,Senapati,320.0,,skipped,661.718,,
DMSO,Senapati,340.0,,skipped,647.639,,
DMSO,Senapati,368.0,,skipped,615.641,,
DMSO,Vahid & Maginn,308.0,,skipped,669.397,,68.95445409431564
DMSO,Vahid & Maginn,318.0,,skipped,666.837,,68.95445409431564
DMSO,Vahid & Maginn,320.0,,skipped,661.718,,68.95445409431564
DMSO,Vahid & Maginn,340.0,,skipped,647.639,,68.95445409431564
DMSO,Vahid & Maginn,368.0,1040.1528907307857,estimated,615.641,68.95445409431564,68.95445409431564
EG,Huang et. al.,378.15,994.2623152195929,estimated,977.45,1.7200179261949815,3.1848173295757682
EG,Huang et. al.,383.15,994.2623152195929,estimated,972.15,2.27457853413495,3.1848173295757682
EG,Huang et. al.,393.15,994.2623152195929,estimated,961.57,3.3998892664697156,3.1848173295757682
EG,Huang et. al.,403.15,946.4364004670865,estimated,951.01,0.4809202356351118,3.1848173295757682
EG,Huang et. al.,413.15,946.4364004670865,estimated,940.46,0.6354763059658547,3.1848173295757682
EG,Huang et. al.,450.0,985.564685,direct,901.26,9.354091494130447,3.1848173295757682
EG,Huang et. al.,500.0,905.7999033,direct,845.255,7.162915723657356,3.1848173295757682
EG,Huang et. al.,550.0,807.0404382,direct,781.37,3.285311465758864,3.1848173295757682
EG,Huang et. al.,600.0,699.9194458,direct,701.38,0.20824006957712607,3.1848173295757682
EG,Huang et. al.,650.0,568.9705172,direct,588.55,3.3267322742332746,3.1848173295757682
EG,Huang et. al.,700.0,,skipped,376.95,,3.1848173295757682
EG,IFT FF,378.15,901.440271195705,direct,977.45,7.7763291016722125,14.512740141258812
EG,IFT FF,383.15,894.8543687306101,direct,972.15,7.950998433306579,14.512740141258812
EG,IFT FF,393.15,882.8854456926418,direct,961.57,8.182925248017119,14.512740141258812
EG,IFT FF,403.15,867.119063573467,direct,951.01,8.821246509135868,14.512740141258812
EG,IFT FF,413.15,856.4080294014169,direct,940.46,8.93732541507168,14.512740141258812
EG,IFT FF,450.0,805.3314337324797,direct,901.26,10.643828225763965,14.512740141258812
EG,IFT FF,500.0,728.9547805282408,direct,845.255,13.759187401643194,14.512740141258812
EG,IFT FF,550.0,641.2102446186553,direct,781.37,17.937693459096803,14.512740141258812
EG,IFT FF,600.0,529.6568118366132,direct,701.38,24.48361632259072,14.512740141258812
EG,IFT FF,650.0,372.9391139956852,direct,588.55,36.634251296289996,14.512740141258812
EG,IFT FF,700.0,,skipped,376.95,,14.512740141258812
Glycerol,IFT FF,298.15,,skipped,982.734,,
Glycerol,Jahn et. al.,298.15,,skipped,982.734,,
MeOH,Gonzalez-Salgado & Vega,200.0,,skipped,1289.99,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,250.0,,skipped,1234.79,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,300.0,,skipped,1166.17,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,350.0,1221.57273905443,estimated,1075.936,13.535818027692178,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,400.0,1179.4730417185322,estimated,944.57,24.86878068523583,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,450.0,,skipped,739.19,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,500.0,,skipped,547.03,,19.202299356464003
MeOH,IFT FF,200.0,1571.6495323074053,direct,1289.99,21.834241529578154,13.982365464022628
MeOH,IFT FF,250.0,1529.5673579596505,direct,1234.79,23.872671301164615,13.982365464022628
MeOH,IFT FF,300.0,1401.9735644330358,direct,1166.17,20.220342182789448,13.982365464022628
MeOH,IFT FF,350.0,1169.8704948543918,direct,1075.936,8.730490926448406,13.982365464022628
MeOH,IFT FF,400.0,1007.9401258387161,direct,944.57,6.708886142765071,13.982365464022628
MeOH,IFT FF,450.0,720.5065240513949,direct,739.19,2.527560701390059,13.982365464022628
MeOH,IFT FF,500.0,,skipped,547.03,,13.982365464022628
MeOH,Jorgensen,200.0,,skipped,1289.99,,9.976697854427057
MeOH,Jorgensen,250.0,,skipped,1234.79,,9.976697854427057
MeOH,Jorgensen,300.0,1195.511822224548,estimated,1166.17,2.516084466634193,9.976697854427057
MeOH,Jorgensen,350.0,1167.0803007485729,estimated,1075.936,8.471163781913884,9.976697854427057
MeOH,Jorgensen,400.0,1123.4984339893745,estimated,944.57,18.942845314733095,9.976697854427057
MeOH,Jorgensen,450.0,,skipped,739.19,,9.976697854427057
MeOH,Jorgensen,500.0,,skipped,547.03,,9.976697854427057
MeOH,Martinez-Jimenez et. al.,200.0,,skipped,1289.99,,30.597508070948155
MeOH,Martinez-Jimenez et. al.,250.0,,skipped,1234.79,,30.597508070948155
MeOH,Martinez-Jimenez et. al.,300.0,1225.3038451457815,estimated,1166.17,5.070773999140895,30.597508070948155
MeOH,Martinez-Jimenez et. al.,350.0,1225.3038451457815,estimated,1075.936,13.882595725561886,30.597508070948155
MeOH,Martinez-Jimenez et. al.,400.0,1236.4301609456963,estimated,944.57,30.898732856823347,30.597508070948155
MeOH,Martinez-Jimenez et. al.,450.0,1275.3831225661838,estimated,739.19,72.5379297022665,30.597508070948155
MeOH,Martinez-Jimenez et. al.,500.0,,skipped,547.03,,30.597508070948155
