molecule,temperature,sim_liq_density,sim_vap_density,sim_Pvap,sim_Hvap,sim_surf_tens,sim_diff_coeff,sim_Tc,sim_Tc_unc,sim_rhoc,sim_rhoc_unc,reliability,ref_name,ff_name,paper_short_name
MeOH,250,831.338,0,0.003,,27.75,,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,298,781.716,0.04,0.051,,23.15,2.00E-09,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,400,672.232,3.45,2.9,,14.05,,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,450,605.457,13.8,11.302,,9.15,,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,475,556.825,26.28,20.183,,6.6,,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,500,462.739,49.44,33.114,,3.65,,521.9,,255,,OK,Martinez-Jimenez et al.,MeOH-4P,MJ
MeOH,281.09589,746.55,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,290.9589,736.21,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,299.72603,724.14,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,309.58904,713.79,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,320.54795,703.45,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,329.31507,693.1,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,340.27397,679.31,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,350.13699,668.97,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,361.09589,655.17,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,370.9589,641.38,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,379.72603,627.59,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,390.68493,612.07,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,400.54795,596.55,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,410.41096,579.31,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,420.27397,556.9,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,431.23288,534.48,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,440,508.62,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,450.9589,479.31,,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,449.86301,,51.72,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,441.09589,,43.1,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,430.13699,,34.48,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,420.27397,,25.86,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,411.50685,,22.41,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,401.64384,,17.24,,,,,477.26027,,225.86,,OK,Haughney et al.,H1,GSV
MeOH,390.68493,,13.79,,,,,477.26027,,225.86,,APPROX,Haughney et al.,H1,GSV
MeOH,380.82192,,10.34,,,,,477.26027,,225.86,,APPROX,Haughney et al.,H1,GSV
MeOH,370.9589,,6.9,,,,,477.26027,,225.86,,APPROX,Haughney et al.,H1,GSV
MeOH,361.09589,,5.17,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,351.23288,,5.17,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,340.27397,,3.45,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,330.41096,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,320.54795,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,310.68493,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,300.82192,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,289.86301,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
MeOH,280,,1.72,,,,,477.26027,,225.86,,UNRELIABLE,Haughney et al.,H1,GSV
