frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K
0,0.0,48647,2.960336268453905e-16,293.83967918508534
1,10.0,48685,2.95325505458722e-16,292.9080043370114
2,20.0,48801,2.970345547707669e-16,293.9027919441145
3,30.0,48816,2.989797730546524e-16,295.7366001757831
4,40.0,48743,2.9846822650843923e-16,295.6727550041852
5,50.0,48789,2.9795027697518316e-16,294.88136962254873
6,60.0,48741,2.944875686093114e-16,291.741350783054
7,70.0,48787,2.957603415448023e-16,292.72599034208565
8,80.0,48709,2.9553502537135723e-16,292.971384510987
9,90.0,48727,2.9509096452027495e-16,292.42311320488074
10,100.0,48602,2.939909352195473e-16,292.0823115342555
11,110.0,48638,2.953846631598789e-16,293.2497781100355
12,120.0,48658,2.955068768536002e-16,293.2505235641505
13,130.0,48664,2.9686059998343584e-16,294.5575885053902
14,140.0,48644,2.923905581864437e-16,290.24150866333173
15,150.0,48725,2.940659298662081e-16,291.4193069666917
16,160.0,48692,2.962915015723462e-16,293.82384649657695
17,170.0,48693,2.949063837709102e-16,292.44425860591264
18,180.0,48733,2.9698349715998843e-16,294.26230188718404
19,190.0,48675,2.9554596244424467e-16,293.186877879583
20,200.0,48701,2.9607511644155003e-16,293.5550041983029
21,210.0,48654,2.9637768219257244e-16,294.13885994067664
22,220.0,48709,2.9433287785355446e-16,291.7796651124671
23,230.0,48738,2.9327057006676645e-16,290.55358477516637
24,240.0,48799,2.9842783312134875e-16,295.29348230682467
25,250.0,48738,2.9567960293373335e-16,292.9402993206425
26,260.0,48697,2.9462883083150735e-16,292.14502397655167
27,270.0,48736,2.9612815650281407e-16,293.39673704847024
28,280.0,48795,2.9577159230933447e-16,292.689131069261
29,290.0,48797,2.9474097609966437e-16,291.65730130386373
30,300.0,48796,2.9527614508709393e-16,292.19285910808895
31,310.0,48706,2.9670501679161297e-16,294.1493434871517
32,320.0,48701,2.946215385981951e-16,292.1137988209748
33,330.0,48692,2.9647666697915187e-16,294.0074697587261
34,340.0,48694,2.955549806769108e-16,293.08142151827235
35,350.0,48712,2.9554662999557455e-16,292.9648446889071
36,360.0,48633,2.9563639107616396e-16,293.5298616211356
37,370.0,48704,2.947378461915087e-16,292.211116119991
38,380.0,48702,2.938179284703818e-16,291.31104718422256
39,390.0,48682,2.960148954661465e-16,293.6098434972458
40,400.0,48697,2.976138032099689e-16,295.10483216848564
41,410.0,48673,2.9570154305579587e-16,293.35327017725615
42,420.0,48664,2.944174218963021e-16,292.1333643217987
43,430.0,48729,2.9503553092316065e-16,292.3561810093424
44,440.0,48690,2.9466850021912706e-16,292.2263653170179
45,450.0,48803,2.9477599712660315e-16,291.6560943690968
46,460.0,48835,2.9671733265110853e-16,293.3845113804973
47,470.0,48774,2.9503226284692157e-16,292.08321114812435
48,480.0,48733,2.963574179662717e-16,293.64195932112057
49,490.0,48762,2.960786253303546e-16,293.1912491554063
50,500.0,48759,2.9564193644914976e-16,292.77683149177784
51,510.0,48666,2.9611924870406917e-16,293.80991350504326
52,520.0,48633,2.9457688993381034e-16,292.47790985508124
53,530.0,48756,2.9469109700319232e-16,291.8531636357347
54,540.0,48680,2.9370073077489717e-16,291.3264494031716
55,550.0,48737,2.9700180145256377e-16,294.2562859335702
56,560.0,48804,2.9602309071576857e-16,292.88398739465646
57,570.0,48785,2.9520004722686064e-16,292.1834222811306
58,580.0,48752,2.9785024120717496e-16,295.00608730704334
59,590.0,48670,2.9662156648748804e-16,294.2841258119924
60,600.0,48707,2.9672951212891335e-16,294.1675881753655
61,610.0,48758,2.9597725706095663e-16,293.11491397116055
62,620.0,48782,2.9647797016842674e-16,293.46633274367287
63,630.0,48789,2.954381025261353e-16,292.39507073473897
64,640.0,48809,2.967236563808452e-16,293.54705000826647
65,650.0,48806,2.9507469598090113e-16,291.9336861614159
66,660.0,48905,2.966786280872059e-16,292.9263614456334
67,670.0,48819,2.9662442870847325e-16,293.3887750633505
68,680.0,48760,2.963722595558104e-16,293.49405766131594
69,690.0,48702,2.9622759299034585e-16,293.70015222736214
70,700.0,48678,2.9580925676378023e-16,293.42998549813643
71,710.0,48643,2.9223292913077585e-16,290.09100172141154
72,720.0,48632,2.9627865629896055e-16,294.1735992906313
73,730.0,48738,2.9501151240844156e-16,292.2783982746778
74,740.0,48785,2.9759111329311017e-16,294.5500542403734
75,750.0,48777,2.958529067180934e-16,292.87763774509284
76,760.0,48722,2.979776209030285e-16,295.31397488340053
77,770.0,48783,2.950915179505904e-16,292.08797655598477
78,780.0,48678,2.959943717089396e-16,293.6136115153471
79,790.0,48668,2.953210785447885e-16,293.0059265040701
80,800.0,48722,2.9586978116256537e-16,293.22497729261846
81,810.0,48751,2.945576707876869e-16,291.7509418321141
82,820.0,48773,2.9624874573072364e-16,293.2935477609112
83,830.0,48740,2.9576456470788763e-16,293.0124499888676
84,840.0,48686,2.9540971075211182e-16,292.98550235241163
85,850.0,48683,2.9707211066457777e-16,294.6524164740991
86,860.0,48724,2.976787267545736e-16,295.0056428229319
87,870.0,48723,2.964838512733429e-16,293.8275274859631
88,880.0,48691,2.9520069891401786e-16,292.7481407992728
89,890.0,48668,2.9577222414492563e-16,293.45353537509203
90,900.0,48704,2.9370364352323553e-16,291.18577946948824
91,910.0,48807,2.9472576967759465e-16,291.5824997906025
92,920.0,48785,2.9867122691568413e-16,295.61913027088497
93,930.0,48693,2.9453445319044963e-16,292.0754332130376
94,940.0,48677,2.9729826263718383e-16,294.9130733544268
95,950.0,48689,2.951049610614794e-16,292.66521967390355
96,960.0,48619,2.939777064016161e-16,291.9670444119851
97,970.0,48651,2.977605725742663e-16,295.529526353631
98,980.0,48634,2.9597956902079175e-16,293.86455179062614
99,990.0,48683,2.9615459472994984e-16,293.7423738360109
100,1000.0,48688,2.9771112697518953e-16,295.2559035735452
101,1010.0,48725,2.9566041037597257e-16,292.9994369917472
102,1020.0,48780,2.972762862246904e-16,294.2686041059555
103,1030.0,48733,2.9591537154980953e-16,293.2039632799498
104,1040.0,48696,2.9415483012308816e-16,291.6810089442333
105,1050.0,48739,2.9616012773024063e-16,293.4103521720114
106,1060.0,48742,2.946175891040453e-16,291.8641707203047
107,1070.0,48865,2.967228320158431e-16,293.2098262187138
108,1080.0,48764,2.9607309827577526e-16,293.17375131983016
109,1090.0,48776,2.9493844484993884e-16,291.9783582219087
110,1100.0,48769,2.9571438924760717e-16,292.78853403995305
111,1110.0,48707,2.968195606665279e-16,294.2568592456367
112,1120.0,48802,2.9431454169068104e-16,291.2054899262878
113,1130.0,48772,2.953449913451131e-16,292.4048039001503
114,1140.0,48743,2.9771381832270645e-16,294.92541265125635
115,1150.0,48660,2.960633405271581e-16,293.79066260014974
116,1160.0,48678,2.9428859538027627e-16,291.9215551920981
117,1170.0,48692,2.9685212182965085e-16,294.37979764452086
118,1180.0,48650,2.938157233932726e-16,291.62022907658974
119,1190.0,48657,2.950917147059961e-16,292.8445498274579
120,1200.0,48724,2.9683579723337475e-16,294.17028260768643
121,1210.0,48643,2.9518638864364674e-16,293.02281379057405
122,1220.0,48745,2.9602979114438285e-16,293.2451258765987
123,1230.0,48693,2.9840712249784683e-16,295.9157702377778
124,1240.0,48641,2.9533216871401376e-16,293.1795797007639
125,1250.0,48643,2.9627282011952363e-16,294.1012822440651
126,1260.0,48633,2.9535546742254417e-16,293.2509396627361
127,1270.0,48686,2.9519216965076415e-16,292.76974644953907
128,1280.0,48647,2.965025102854359e-16,294.3050876627178
129,1290.0,48705,2.967303070353789e-16,294.1804558153129
130,1300.0,48656,2.9551142815807746e-16,293.267094335992
131,1310.0,48710,2.9552295647349877e-16,292.9534059468281
132,1320.0,48715,2.9521882732458357e-16,292.6218840318641
133,1330.0,48724,2.9539341596691226e-16,292.7408535808036
134,1340.0,48637,2.9495480221274775e-16,292.82904455336705
135,1350.0,48780,2.9691932119142e-16,293.9152506535523
136,1360.0,48728,2.953870329056546e-16,292.7104977502558
137,1370.0,48728,2.9424492229072026e-16,291.57873592816514
138,1380.0,48734,2.9685484780262903e-16,294.128795800052
139,1390.0,48657,2.955487490552333e-16,293.2981037958959
140,1400.0,48679,2.9532959735076786e-16,292.9481660299175
141,1410.0,48663,2.958833351474626e-16,293.59393826392807
142,1420.0,48696,2.9285777614767073e-16,290.394863100405
143,1430.0,48757,2.9529720043394646e-16,292.4474319875033
144,1440.0,48753,2.952204104510213e-16,292.395371037673
145,1450.0,48605,2.9566252349598205e-16,293.72491724162234
146,1460.0,48556,2.948180530555663e-16,293.18154514069795
147,1470.0,48562,2.928812821644889e-16,291.21953947769333
148,1480.0,48573,2.9431337323783085e-16,292.57723218493965
149,1490.0,48606,2.943529527076813e-16,292.4179124348199
150,1500.0,48621,2.9517729636804326e-16,293.1463708545847
151,1510.0,48644,2.9537222425151033e-16,293.2012596977799
152,1520.0,48743,2.954210703109401e-16,292.6541386563671
153,1530.0,48715,2.947796218381796e-16,292.1865420922142
154,1540.0,48724,2.956793881143298e-16,293.0242577665784
155,1550.0,48775,2.957336386033904e-16,292.77157355278484
156,1560.0,48754,2.9594016654040667e-16,293.1022276140227
157,1570.0,48748,2.962998916467754e-16,293.4946225627605
158,1580.0,48601,2.9533495799406093e-16,293.4236460301738
159,1590.0,48657,2.956188807931431e-16,293.3677014707654
160,1600.0,48602,2.962643872293315e-16,294.3410040265396
161,1610.0,48661,2.9509455062086533e-16,292.82329169711227
162,1620.0,48548,2.9448615477104454e-16,292.8997468331883
163,1630.0,48613,2.946463019362399e-16,292.66718471525195
164,1640.0,48615,2.956949519589332e-16,293.69670798181545
165,1650.0,48643,2.9775494763832484e-16,295.57254647799914
166,1660.0,48744,2.975408725443804e-16,294.7480397116553
167,1670.0,48707,2.95613460975804e-16,293.06117286252703
168,1680.0,48677,2.9421653103168413e-16,291.8560661221292
169,1690.0,48697,2.961702900507542e-16,293.6734882456283
170,1700.0,48633,2.9623602893353976e-16,294.12522681504026
171,1710.0,48646,2.941752739239584e-16,292.0011012319201
172,1720.0,48716,2.95046942160946e-16,292.445507693498
173,1730.0,48717,2.9488684474712706e-16,292.2808221731609
174,1740.0,48820,2.957617600180377e-16,292.52952445483015
175,1750.0,48733,2.9476790753833454e-16,292.0670132319562
176,1760.0,48725,2.9478776514724194e-16,292.134645657708
177,1770.0,48688,2.955349092254064e-16,293.0976330896254
178,1780.0,48726,2.956733988662872e-16,293.0062951149734
179,1790.0,48685,2.9516788162220855e-16,292.75167079136185
180,1800.0,48782,2.9729779517783826e-16,294.27782993136236
181,1810.0,48704,2.9647049615364264e-16,293.9289124119251
182,1820.0,48707,2.926673635700708e-16,290.1405116780145
183,1830.0,48636,2.9375073422665323e-16,291.63965061116977
184,1840.0,48654,2.9414968503432286e-16,291.9276929620079
185,1850.0,48757,2.9671797777738685e-16,293.85449810565336
186,1860.0,48762,2.945937218936834e-16,291.72082658441855
187,1870.0,48598,2.9545594349624703e-16,293.56196928982996
188,1880.0,48594,2.969998533902278e-16,295.12027292444867
189,1890.0,48658,2.9322317788911297e-16,290.98426186449285
190,1900.0,48663,2.9535979272461455e-16,293.07444674982986
191,1910.0,48654,2.9403311556224044e-16,291.81200404991245
192,1920.0,48717,2.968937543178548e-16,294.2699959522169
193,1930.0,48665,2.9532401796460846e-16,293.0269056880171
194,1940.0,48743,2.955505009024449e-16,292.78235699310505
195,1950.0,48760,2.9705529488801143e-16,294.1704597357685
196,1960.0,48745,2.968926466245634e-16,294.0998647287956
197,1970.0,48716,2.9706187393697226e-16,294.44267377795904
198,1980.0,48749,2.9632416283628124e-16,293.51264294151633
199,1990.0,48601,2.9599287237531465e-16,294.07730260315236
200,2000.0,48601,2.955321686846478e-16,293.6195804371981
201,2010.0,48628,2.971620011317013e-16,295.0749379896813
202,2020.0,48652,2.945073026181577e-16,292.29462435552665
203,2030.0,48659,2.9667514278818465e-16,294.40381869154106
204,2040.0,48620,2.9390743525709193e-16,291.8912502416054
205,2050.0,48672,2.95301982881356e-16,292.9629020570056
206,2060.0,48585,2.9661157541196946e-16,294.78904949058983
207,2070.0,48698,2.9667004173421884e-16,294.1629861970072
208,2080.0,48577,2.947200845219255e-16,292.95741917328496
209,2090.0,48593,2.971483663250693e-16,295.27392233201016
210,2100.0,48579,2.956883251420789e-16,293.90776823199366
211,2110.0,48584,2.948920115706019e-16,293.08608392633687
212,2120.0,48663,2.946911259570991e-16,292.41095379047397
213,2130.0,48717,2.9582957702628784e-16,293.21522318341493
214,2140.0,48673,2.9440364066108353e-16,292.0656748947793
215,2150.0,48621,2.9362918816263034e-16,291.60891418806267
216,2160.0,48555,2.932849944101123e-16,291.6630030974326
217,2170.0,48594,2.9576745924411884e-16,293.8956780547929
218,2180.0,48637,2.9447397776662257e-16,292.35168543901995
219,2190.0,48664,2.9664623131728943e-16,294.3448828874849
220,2200.0,48663,2.956409669310668e-16,293.3534453712609
221,2210.0,48781,2.958143294788208e-16,292.81543587834295
222,2220.0,48718,2.9639350582672434e-16,293.7681382444094
223,2230.0,48632,2.959357762545392e-16,293.8331554056334
