frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K,total_ke_kJ_per_mol
0,0.0,2,1.9806186884123227e-19,341.56101818305024,
1,10.0,3,2.416362129987378e-19,277.80380418371425,
2,20.0,0,0.0,,0.0
3,30.0,2,1.8121413543574003e-19,312.5068190596976,
4,40.0,1,1.31102972134781e-19,452.17855320829614,
5,50.0,2,1.5007181094674635e-19,258.8013576133335,
6,60.0,2,1.9800164188631116e-19,341.4571557881063,
7,70.0,3,2.701515371213683e-19,310.5872409893547,
8,80.0,2,1.8385912246731975e-19,317.0681436037547,
9,90.0,4,3.7752853709474007e-19,325.5271503739149,
10,100.0,5,3.801613430178564e-19,262.2378475063307,
11,110.0,3,2.021994405462707e-19,232.46422003752468,
12,120.0,5,4.015245493265651e-19,276.97433068938363,
13,130.0,6,4.848754476521416e-19,278.72528343619996,
14,140.0,5,4.045707766858673e-19,279.0756387797245,
15,150.0,2,1.674324960436211e-19,288.7401505406948,
16,160.0,2,1.827524182498591e-19,315.1596135996964,
17,170.0,2,1.5139627378189012e-19,261.08541600965185,
18,180.0,1,7.467188934142592e-20,257.5458537509254,
19,190.0,2,2.335675682075653e-19,402.7911928644139,
20,200.0,4,3.604194669742743e-19,310.774711035892,
21,210.0,2,1.5680479652242944e-19,270.41250428228454,
22,220.0,2,2.295941016619489e-19,395.9388830938495,
23,230.0,1,1.0330923559135117e-19,356.3170225822754,
24,240.0,1,6.500875559207182e-20,224.21738097039116,
25,250.0,1,8.74363880831328e-20,301.57103853102626,
26,260.0,3,2.342576001507311e-19,269.32077635714506,
27,270.0,2,1.4658826598237949e-19,252.7939258351886,
28,280.0,1,7.201907061305642e-20,248.3961928776022,
29,290.0,4,4.071026653812972e-19,351.02769075690486,
30,300.0,1,1.0713298986949456e-19,369.50527948569163,
31,310.0,0,0.0,,0.0
32,320.0,3,2.6572657226812316e-19,305.4999568676773,
33,330.0,3,2.735308060300012e-19,314.47231163554494,
34,340.0,4,3.36374786552324e-19,290.04198349258377,
35,350.0,3,3.2579147940234583e-19,374.55525074416147,
36,360.0,3,2.8588737666476095e-19,328.67838731600995,
37,370.0,3,2.1222480608773073e-19,243.99016083582902,
38,380.0,5,4.1300585511212166e-19,284.8942125265669,
39,390.0,2,1.9503796251287055e-19,336.3462409498144,
40,400.0,7,5.958861705852908e-19,293.6044873785848,
41,410.0,4,3.385425103054601e-19,291.9111214962605,
42,420.0,7,6.26176909938548e-19,308.52931268774745,
43,430.0,3,2.327686079916179e-19,267.6089150385623,
44,440.0,2,1.5779113947314016e-19,272.11346926102306,
45,450.0,3,2.2613448145040334e-19,259.98180663575357,
46,460.0,3,2.3304403489967303e-19,267.9255672567158,
47,470.0,5,4.2737851848640073e-19,294.8085722462688,
48,480.0,4,3.474034120531359e-19,299.5515084133965,
49,490.0,4,4.185142219896727e-19,360.86740123983157,
50,500.0,3,2.4489826904010606e-19,281.5541177915397,
51,510.0,6,5.3569208078895e-19,307.9366624468602,
52,520.0,5,4.463674275498975e-19,307.90724924423745,
53,530.0,3,3.2978788570881767e-19,379.1498305930332,
54,540.0,5,3.4651635445024535e-19,239.02930843893,
55,550.0,3,2.5193392516708514e-19,289.64285586911194,
56,560.0,5,4.464083224019168e-19,307.9354587878025,
57,570.0,4,3.10705777583345e-19,267.90866502374104,
